"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
199643730387838_902299483455589,https://www.facebook.com/NogginBR/posts/902299483455589,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção.",Video,,,"06/03/2019 01:01:11 PM"," ",100,100,0,132,132,0,4,2,2,0,0,105,81,0,0,3,3,3,0,0,17,17,0,0,3922,28512,2,1,,2,1,,,2,,,,2,,,,
199643730387838_367896447168469,https://www.facebook.com/NogginBR/videos/367896447168469/,,Video,,,"06/01/2019 10:17:27 AM"," ",154,154,0,213,213,0,64,57,84,0,0,9,7,0,0,7,16,31,0,0,78,117,0,0,34643,34643,5,2,1,6,2,1,57,,,,84,,,,,
199643730387838_900764166942454,https://www.facebook.com/NogginBR/posts/900764270275777:0,"Noggin BR",Photo,,,"06/01/2019 10:00:04 AM"," ",1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,,,,,,,,,,
199643730387838_893577870994417,https://www.facebook.com/NogginBR/posts/893577870994417,"Todos os meses temos alguma novidade no app do Noggin. De temporadas completas a estreias de séries, músicas e jogos: as surpresas não param nunca! Faça o download do app e curta com os seus pequenos uma nova forma de interagir e aprender online.",Video,,,"05/31/2019 07:30:00 AM"," ",390,390,0,531,531,0,19,15,26,0,0,86,55,0,0,4,41,47,0,0,72,84,0,0,3933,8810,3,2,,3,2,,12,9,,,15,11,,,,
199643730387838_895112867507584,https://www.facebook.com/NogginBR/posts/895112867507584,"Maio é o mês para agradecer os cuidados da mamãe e por isso temos um especial incrível para você curtir com os pequenos. Acesse esse presente clicando no link do post e baixe o app para celebrar em família! 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Photo,,,"05/24/2019 12:47:13 PM"," ",302,302,0,373,373,0,12,6,9,0,0,351,281,0,0,9,0,0,0,0,0,0,0,0,0,0,6,1,,6,1,,,2,2,3,,4,2,3,,
199643730387838_893030457715825,https://www.facebook.com/NogginBR/posts/893030457715825,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção! 👊",Video,,,"05/21/2019 10:05:00 AM"," ",75804,441,75472,195422,598,194824,516,479,622,0,0,568,310,425,226,7,11,12,2954,3651,56,66,15589,25313,3244,28435,42,3,3,47,3,11,450,32,,,584,38,,,,
199643730387838_890373977981473,https://www.facebook.com/NogginBR/posts/890373977981473,"Nós temos os melhores programas do Nick Jr., jogos e especiais para que os seus pequenos aprendam enquanto se divertem. Baixe já o Noggin!",Video,,,"05/17/2019 04:15:15 PM"," ",92490,724,91821,158088,961,157127,1483,1307,1872,1,1,514,291,405,223,11,25,30,12319,13698,99,116,36399,44920,5098,18837,181,25,5,188,25,16,583,41,778,,1023,52,797,,1,1
199643730387838_886209188397952,https://www.facebook.com/NogginBR/posts/886209188397952,"A importância de participar e ajudar a nossa comunidade e amigos 🤝 é a mensagem mais importante de ☀️ Sunny Day, nossa super estreia do mês. Baixe o app para curtir com o seu pequeno! 😀",Video,,,"05/12/2019 07:37:00 AM"," ",100,100,0,138,138,0,14,11,12,0,0,100,71,0,0,6,9,10,0,0,26,37,0,0,8853,18366,4,1,,5,1,,8,3,,,9,3,,,,
199643730387838_885209668497904,https://www.facebook.com/NogginBR/posts/885209668497904,"Sunny Day é dona de um salão de beleza 💇 e resolve qualquer problema 💁🏾 com seu talento. A personagem é um exemplo positivo de como se manter fiel à própria vocação. A criançada da sua casa não pode perder o nosso lançamento do mês!",Video,,,"05/11/2019 01:30:00 PM"," ",220,220,0,348,348,0,104,98,131,0,0,175,116,0,0,8,74,96,0,0,160,207,0,0,22308,35305,8,3,2,8,3,4,93,13,,,117,14,,,,
199643730387838_292566431655062,https://www.facebook.com/NogginBR/videos/292566431655062/,,Video,,,"05/08/2019 01:18:45 PM"," ",32,32,0,49,49,0,33,32,51,0,0,14,7,0,0,7,12,22,0,0,29,62,0,0,30377,30377,1,1,,1,1,,32,1,,,50,1,,,,
199643730387838_881197475565790,https://www.facebook.com/NogginBR/posts/881197475565790,"Além do fator bilíngue, todas as temporadas de Dora A Aventureira trabalham o sentido de direção ↔️ através de mapas 🗺️, pistas e desafios criados para os pré-escolares. Faça o download do app 📲 para o seu pequeno aprender e se divertir com a Dora e o Mapa onde, quando e quantas vezes quiser!",Video,,,"05/04/2019 11:23:45 AM"," ",534,534,0,727,727,0,31,25,39,0,0,150,89,0,0,4,22,22,0,0,74,91,0,0,5263,24595,3,4,2,5,4,3,14,15,,,20,19,,,,
199643730387838_880044089014462,https://www.facebook.com/NogginBR/posts/880044089014462,"Dora tem uma atitude proativa e também é reflexiva e paciente, já que muitas vezes decide &quot;parar e pensar&quot; em um problema quando não consegue resolvê-lo de imediato. Não percam a NOVA TEMPORADA COMPLETA de Dora, A Aventureira. Baixe o app para curtir com o seu pequeno!",Video,,,"05/02/2019 04:37:41 PM"," ",127,127,0,187,187,0,68,64,80,0,0,115,76,0,0,2,42,48,0,0,83,98,0,0,10778,17257,3,3,,3,3,,63,5,,,75,5,,,,
199643730387838_876107642741440,https://www.facebook.com/NogginBR/posts/876107642741440,"Pode ter certeza de que o Noggin coloca à sua disposição os melhores programas do Nick Jr. com uma atualização mensal, incluindo super lançamentos e especiais para que o seu pequeno aprenda enquanto se diverte. Baixe agora mesmo! Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,,,"04/27/2019 01:00:00 PM"," ",473,473,0,646,646,0,14,12,18,0,0,125,83,0,0,4,16,18,0,0,55,62,0,0,4476,24190,3,2,,5,3,,9,5,,,10,8,,,,
199643730387838_876106479408223,https://www.facebook.com/NogginBR/posts/876106479408223,"O Noggin é 100% pensado para o bem-estar 🤗 dos pequenos. Com conteúdo criado por especialistas 👨🏾‍🏫 e uma plataforma fechada 🔐, somos um jeito seguro de monitorar 👀 a informação digital que seus filhos consomem #protejasuacrianca Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,,,"04/26/2019 02:57:44 PM"," ",191,191,0,245,245,0,8,4,5,0,0,92,71,0,0,2,7,9,0,0,28,37,0,0,2972,13694,4,2,,4,2,,2,2,,,3,2,,,,
199643730387838_870043650014506,https://www.facebook.com/NogginBR/posts/870043650014506,"Quais valores Nella, Uma Princesa Corajosa comunica para as crianças? A auto-confiança e a inclusão. Que o importante não é ganhar, mas sim aproveitar o processo que permite superar os diferentes obstáculos que se apresentam. Link em nossa bio para você baixar o app no seu dispositivo 👉📱",Video,,,"04/20/2019 04:31:00 PM"," ",227,227,0,310,310,0,12,8,12,0,0,257,191,0,0,6,18,21,0,0,42,56,0,0,7635,18387,4,2,2,5,2,2,7,2,,,9,3,,,,
199643730387838_870036846681853,https://www.facebook.com/NogginBR/posts/870036846681853,"Em busca de entretenimento educativo para o seu pequeno? Rusty Rivets apresenta as técnicas básicas do processo de engenharia de forma lúdica para pré-escolares. Na medida ideal para semear interesse e curiosidade. Baixe o Noggin e curta as melhores séries do Nick Jr. sem publicidade! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/19/2019 10:00:00 AM"," ",353,353,0,441,441,0,16,10,14,0,0,120,98,0,0,2,15,16,0,0,58,70,0,0,3702,17214,4,3,1,5,3,1,8,2,,,12,2,,,,
199643730387838_867703946915143,https://www.facebook.com/NogginBR/posts/867703946915143,"A Semana Santa chegou e com ela, o especial Contos de Páscoa! Blaze, Patrulha Canina e Team Umizoomi precisam da ajuda dos seus filhos para encontrar os ovos de páscoa e outras surpresas. Baixe o Noggin e obtenha 7 dias grátis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/14/2019 07:05:00 AM"," ",490,490,0,694,694,0,22,11,12,0,0,152,87,0,0,4,23,25,0,0,58,70,0,0,4176,15635,9,2,3,11,3,5,10,2,,,10,2,,,,
199643730387838_866802820338589,https://www.facebook.com/NogginBR/posts/866802820338589,"Nella é uma princesa tradicional que se dedica a atividades reais, mas se transforma quando ela ou seus amigos se encontram em problemas. A mensagem de “Nella, Uma Princesa Corajosa” é excelente para crianças, porque lhes transmite que não somos definidos por nossa aparência, mas sim pelo que acreditamos que podemos ser e fazer.",Video,,,"04/12/2019 11:59:02 AM"," ",577,577,0,796,796,0,31,25,29,0,0,191,124,0,0,6,29,31,0,0,69,82,0,0,5547,15379,6,3,3,8,4,5,25,,,,29,,,,,
199643730387838_862309947454543,https://www.facebook.com/NogginBR/posts/862309947454543,"Chegou “Nella, Uma Princesa Corajosa”, o mega lançamento do mês, a série que transformará o mundo das princesas para sempre 👑🗡💖🛡. Faça o download do Noggin para que a criançada da sua casa possa curtir esse e outros programas do Nick Jr, off-line e sem comerciais! 🤳Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/05/2019 01:53:10 PM"," ",537,537,0,724,724,0,51,46,57,0,0,107,60,0,0,4,39,42,0,0,105,125,0,0,7022,30633,6,3,2,9,5,3,39,8,,,45,12,,,,
199643730387838_861682524183952,https://www.facebook.com/NogginBR/posts/861682524183952,"Temos mais uma temporada de 🐾 Pistas de Blue, o programa que revolucionou o gênero de série animada educativa, ao estimular a participação de seus espectadores. Baixe o app para que seus pequenos assistam e encontrem as pistas... com Blue! 🐾",Video,,,"04/04/2019 02:39:47 PM"," ",91,91,0,143,143,0,37,35,43,0,0,94,60,0,0,6,19,19,0,0,50,64,0,0,9329,18643,5,1,1,6,1,1,33,5,,,38,5,,,,
199643730387838_2128005950628989,https://www.facebook.com/NogginBR/videos/2128005950628989/,,Video,,,"04/01/2019 03:57:42 PM"," ",40,40,0,67,67,0,53,51,94,0,0,9,7,0,0,9,14,34,0,0,46,95,0,0,30547,30547,3,1,,3,1,,50,1,,,93,1,,,,
199643730387838_859846127700925,https://www.facebook.com/NogginBR/posts/859846207700917:0,"Noggin BR",Photo,,,"04/01/2019 03:51:27 PM"," ",123,123,0,165,165,0,14,1,1,0,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,13,2,,13,2,,,,,1,,,,1,,
199643730387838_858488464503358,https://www.facebook.com/NogginBR/posts/858488464503358,"Situações familiares e muuuuuitas choco músicas para dançar 💃🏽 com a criançada: tudo isso e muito mais você encontra na nossa nova série, 🍫Os Chocolix. Não fiquem de fora! Baixe já o Noggin! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/30/2019 12:49:01 PM"," ",144,144,0,185,185,0,8,5,5,0,0,137,111,0,0,2,4,5,0,0,19,23,0,0,5346,56297,4,1,,4,1,,4,1,,,4,1,,,,
199643730387838_857894964562708,https://www.facebook.com/NogginBR/posts/857894964562708,"Aprendizagens e aventuras são a especialidade da Patrulha Canina + Blaze and the Monster Machines. Muitas lições de STEM e desenvolvimento social esperam pela criançada no Noggin. Aproveite os 7 dias grátis e baixe o app agora mesmo! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/29/2019 03:53:04 PM"," ",180,180,0,258,258,0,486,479,794,0,0,107,81,0,0,4,440,672,0,0,475,765,0,0,9983,9983,19,3,,22,3,,479,9,,,785,9,,,,
199643730387838_854094008276137,https://www.facebook.com/NogginBR/posts/854094008276137,"É hora da sobremesa! O seu pequeno poderá curtir Chocolix, o programa mais doce e familiar do Nick Jr., onde e quando quiser, sem comerciais! Faça o download do Noggin agora! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/23/2019 04:03:00 PM"," ",122,122,0,174,174,0,11,8,11,0,0,125,89,0,0,5,8,9,0,0,21,32,0,0,4409,12478,4,1,1,4,1,1,6,2,,,9,2,,,,
199643730387838_853485571670314,https://www.facebook.com/NogginBR/posts/853485571670314,"Com altas expectativas, iniciativa e proatividade, a personagem #Skye 🐶da Patrulha Canina é um modelo a seguir para milhares de meninas. Encontre os especiais da #PatrulhaCanina no Noggin. Baixe já o nosso app! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/22/2019 02:52:55 PM"," ",76,76,0,116,116,0,6,5,10,0,0,76,50,0,0,2,7,9,0,0,21,33,0,0,7829,26345,2,1,,2,1,,4,1,,,9,1,,,,
199643730387838_849676728717865,https://www.facebook.com/NogginBR/posts/849676728717865,"No Noggin tem entretenimento que ensina: a Patrulha Canina e Blaze and the Monster Machines com seu dinamismo e formato interativo transmitem ao seu pequen@ lições de tecnologia e ciências. Assine agora! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/16/2019 03:16:27 PM"," ",214,214,0,299,299,0,568,564,799,0,0,152,114,0,0,9,485,635,0,0,583,803,0,0,13459,13459,12,1,2,13,1,2,557,9,,,790,9,,,,
199643730387838_849071685445036,https://www.facebook.com/NogginBR/posts/849071685445036,"Nós temos novidades achocolatadas...Baixe o app para curtir novos sabores e aventuras! &gt;&gt;&gt; www.noggin.com.br/br",Video,,,"03/15/2019 04:00:40 PM"," ",664,664,0,926,926,0,32,21,29,0,0,121,67,0,0,7,16,20,0,0,119,139,0,0,3444,22526,11,4,3,11,4,5,11,11,,,15,13,,,,
199643730387838_845588559126682,https://www.facebook.com/NogginBR/posts/845588559126682,"Noggin é a plataforma com os programas mais apaixonantes e surpreendentes que seus filhos esperam descobrir. Do início ao fim, 🎤 você e a criançada não conseguirão parar de 🎶 cantar! O que você está esperando para baixar o app?",Video,,,"03/09/2019 03:55:23 PM"," ",11664,11664,0,21237,21235,0,5159,5123,11144,1,1,325,220,0,0,21,2707,3456,0,0,5437,7882,0,0,26605,40489,128,8,9,173,8,17,4902,2892,,,7465,3673,,,1,1
199643730387838_844976509187887,https://www.facebook.com/NogginBR/posts/844976509187887,"Um app de streaming para que seus pequenos possam curtir Blaze and the Monster Machines + o melhor do Nick Jr. sem comerciais? Assine já! Android ↪️ https://goo.gl/A8pm8K iOS ↪️ https://goo.gl/obGlp5O",Video,,,"03/08/2019 03:18:26 PM"," ",608,608,0,848,848,0,596,588,950,1,1,242,166,0,0,15,254,342,0,0,619,928,0,0,55414,96105,17,2,3,21,2,10,576,41,,,899,51,,,1,1
199643730387838_2132083717101629,https://www.facebook.com/NogginBR/videos/2132083717101629/,,Video,,,"03/03/2019 07:19:40 PM"," ",32,32,0,51,51,0,33,32,61,0,0,16,9,0,0,9,9,20,0,0,32,70,0,0,30099,30099,2,1,,2,1,,32,,,,61,,,,,
199643730387838_841917849493753,https://www.facebook.com/NogginBR/posts/841917936160411:0,"Noggin BR",Photo,,,"03/03/2019 03:23:00 PM"," ",12,12,0,16,16,0,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,,5,1,,,,,,,,,,,
199643730387838_840539102964961,https://www.facebook.com/NogginBR/posts/840539102964961,"Eles não são só os umi-amigos dos seus filhos. O Team Umizoomi também os ajuda a resolver problemas matemáticos 🧮💯 através de seu formato interativo. O entretenimento que ensina você só encontra no Noggin, o app do Nick Jr. Faça o download na App Store e no Google Play! ↪️ https://www.noggin.com.br/br/",Video,,,"03/01/2019 09:56:51 AM"," ",603,603,0,820,820,0,22,15,37,0,0,158,100,0,0,5,11,13,0,0,97,128,0,0,4884,28542,6,3,2,7,4,2,8,11,,,18,19,,,,
