Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Region,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_857894964562708,https://www.facebook.com/NogginBR/posts/857894964562708,Aprendizagens e aventuras são a especialidade da Patrulha Canina + Blaze and the Monster Machines. Muitas lições de STEM e desenvolvimento social esperam pela criançada no Noggin. Aproveite os 7 dias grátis e baixe o app agora mesmo! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,03/29/2019 03:53:04 PM, ,180,180,0,258,258,0,486,479,794,0,0,107,81,0,0,4,440,672,0,0,475,765,0,0,9983,9983,19.0,3.0,0.0,22.0,3.0,0.0,479.0,9.0,0.0,0.0,785.0,9.0,0.0,0.0,0.0,0.0,Brasil,2019-03-29,15,Viernes,3,2.638888888888889,0.17222222222222222
199643730387838_854094008276137,https://www.facebook.com/NogginBR/posts/854094008276137,"É hora da sobremesa! O seu pequeno poderá curtir Chocolix, o programa mais doce e familiar do Nick Jr., onde e quando quiser, sem comerciais! Faça o download do Noggin agora! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/23/2019 04:03:00 PM, ,122,122,0,174,174,0,11,8,11,0,0,125,89,0,0,5,8,9,0,0,21,32,0,0,4409,12478,4.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-03-23,16,Sábado,3,0.1721311475409836,0.06557377049180328
199643730387838_853485571670314,https://www.facebook.com/NogginBR/posts/853485571670314,"Com altas expectativas, iniciativa e proatividade, a personagem #Skye 🐶da Patrulha Canina é um modelo a seguir para milhares de meninas. Encontre os especiais da #PatrulhaCanina no Noggin. Baixe já o nosso app! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/22/2019 02:52:55 PM, ,76,76,0,116,116,0,6,5,10,0,0,76,50,0,0,2,7,9,0,0,21,33,0,0,7829,26345,2.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,Brasil,2019-03-22,14,Viernes,3,0.27631578947368424,0.05263157894736842
199643730387838_849676728717865,https://www.facebook.com/NogginBR/posts/849676728717865,No Noggin tem entretenimento que ensina: a Patrulha Canina e Blaze and the Monster Machines com seu dinamismo e formato interativo transmitem ao seu pequen@ lições de tecnologia e ciências. Assine agora! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,03/16/2019 03:16:27 PM, ,214,214,0,299,299,0,568,564,799,0,0,152,114,0,0,9,485,635,0,0,583,803,0,0,13459,13459,12.0,1.0,2.0,13.0,1.0,2.0,557.0,9.0,0.0,0.0,790.0,9.0,0.0,0.0,0.0,0.0,Brasil,2019-03-16,15,Sábado,3,2.7242990654205608,0.11214953271028037
199643730387838_849071685445036,https://www.facebook.com/NogginBR/posts/849071685445036,Nós temos novidades achocolatadas...Baixe o app para curtir novos sabores e aventuras! &gt;&gt;&gt; www.noggin.com.br/br,Video,0.0,0.0,03/15/2019 04:00:40 PM, ,664,664,0,926,926,0,32,21,29,0,0,121,67,0,0,7,16,20,0,0,119,139,0,0,3444,22526,11.0,4.0,3.0,11.0,4.0,5.0,11.0,11.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,Brasil,2019-03-15,16,Viernes,3,0.17921686746987953,0.043674698795180725
199643730387838_845588559126682,https://www.facebook.com/NogginBR/posts/845588559126682,"Noggin é a plataforma com os programas mais apaixonantes e surpreendentes que seus filhos esperam descobrir. Do início ao fim, 🎤 você e a criançada não conseguirão parar de 🎶 cantar! O que você está esperando para baixar o app?",Video,0.0,0.0,03/09/2019 03:55:23 PM, ,11664,11664,0,21237,21235,0,5159,5123,11144,1,1,325,220,0,0,21,2707,3456,0,0,5437,7882,0,0,26605,40489,128.0,8.0,9.0,173.0,8.0,17.0,4902.0,2892.0,0.0,0.0,7465.0,3673.0,0.0,0.0,1.0,1.0,Brasil,2019-03-09,15,Sábado,3,0.46613511659807955,0.26037379972565156
199643730387838_844976509187887,https://www.facebook.com/NogginBR/posts/844976509187887,Um app de streaming para que seus pequenos possam curtir Blaze and the Monster Machines + o melhor do Nick Jr. sem comerciais? Assine já! Android ↪️ https://goo.gl/A8pm8K iOS ↪️ https://goo.gl/obGlp5O,Video,0.0,0.0,03/08/2019 03:18:26 PM, ,608,608,0,848,848,0,596,588,950,1,1,242,166,0,0,15,254,342,0,0,619,928,0,0,55414,96105,17.0,2.0,3.0,21.0,2.0,10.0,576.0,41.0,0.0,0.0,899.0,51.0,0.0,0.0,1.0,1.0,Brasil,2019-03-08,15,Viernes,3,1.018092105263158,0.10361842105263158
199643730387838_2132083717101629,https://www.facebook.com/NogginBR/videos/2132083717101629/,0,Video,0.0,0.0,03/03/2019 07:19:40 PM, ,32,32,0,51,51,0,33,32,61,0,0,16,9,0,0,9,9,20,0,0,32,70,0,0,30099,30099,2.0,1.0,0.0,2.0,1.0,0.0,32.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,Brasil,2019-03-03,19,Domingo,3,1.0,0.09375
199643730387838_841917849493753,https://www.facebook.com/NogginBR/posts/841917936160411:0,Noggin BR,Photo,0.0,0.0,03/03/2019 03:23:00 PM, ,12,12,0,16,16,0,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brasil,2019-03-03,15,Domingo,3,0.0,0.5
199643730387838_840539102964961,https://www.facebook.com/NogginBR/posts/840539102964961,"Eles não são só os umi-amigos dos seus filhos. O Team Umizoomi também os ajuda a resolver problemas matemáticos 🧮💯 através de seu formato interativo. O entretenimento que ensina você só encontra no Noggin, o app do Nick Jr. Faça o download na App Store e no Google Play! ↪️ https://www.noggin.com.br/br/",Video,0.0,0.0,03/01/2019 09:56:51 AM, ,603,603,0,820,820,0,22,15,37,0,0,158,100,0,0,5,11,13,0,0,97,128,0,0,4884,28542,6.0,3.0,2.0,7.0,4.0,2.0,8.0,11.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,Brasil,2019-03-01,9,Viernes,3,0.16086235489220563,0.03648424543946932
905878352825130_2279754628770822,https://www.facebook.com/NogginLA/posts/2279754628770822,"¿En busca de entretenimiento y contenido educativo para tu peque? ¡Lo encontraste! Noggin es la mejor herramienta para la etapa preescolar, porque nuestro contenido es desarrollado por expertos dentro de una plataforma segura y certificada. ¡Descárgala ya!",Video,0.0,0.0,06/29/2019 07:00:02 AM, ,275,275,0,367,367,0,31,28,42,0,0,267,203,0,0,6,34,36,0,0,89,97,0,0,5185,15337,3.0,0.0,0.0,3.0,0.0,0.0,23.0,17.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-29,7,Sábado,6,0.3236363636363636,0.07272727272727272
905878352825130_2279717605441191,https://www.facebook.com/NogginLA/posts/2279717605441191,"¿Puedes comunicarte con emojis? Muéstranos en los comentarios. Con Noggin todos los meses encontrarás especiales y series nuevas dentro de nuestra app, incluso temporadas enteras de varias series de Nick Jr. ¡Descárgala y disfruta ya!",Video,0.0,0.0,06/28/2019 07:00:02 AM, ,316,316,0,398,398,0,47,43,77,0,0,312,253,0,0,10,46,55,0,0,123,138,0,0,9265,24190,4.0,0.0,0.0,4.0,0.0,0.0,37.0,29.0,0.0,0.0,43.0,34.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-28,7,Viernes,6,0.38924050632911394,0.10443037974683544
905878352825130_2274565079289777,https://www.facebook.com/NogginLA/posts/2274565079289777,¿Qué es Noggin? Una plataforma segura y sin comerciales con las mejores series de Nick Jr. con juegos y canciones desarrollados por expertos. Descárgala para disfrutar de sus beneficios.,Video,0.0,0.0,06/25/2019 07:00:01 AM, ,87881,535,87109,202006,686,201320,526,488,688,0,0,3608,1382,3058,988,16,15,15,2234,2709,97,110,22621,30083,3174,24467,43.0,4.0,1.0,43.0,4.0,1.0,451.0,39.0,0.0,0.0,646.0,42.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-25,7,Martes,6,0.0011037653190109353,0.000989975079937643
905878352825130_2269069103172708,https://www.facebook.com/NogginLA/posts/2269069103172708,¡Ahora tu peque podrá unirse a nuestras heroínas multicolor en grandes aventuras! 🌎🌱 ¡Descárgate la app para disfrutar con tu peque de Rainbow Rangers!,Video,0.0,0.0,06/22/2019 06:00:01 AM, ,310,310,0,395,395,0,58,56,81,1,2,271,216,0,0,8,42,50,0,0,110,130,0,0,10793,41705,5.0,1.0,0.0,6.0,1.0,0.0,51.0,22.0,0.0,0.0,58.0,23.0,0.0,0.0,2.0,1.0,Latinoamérica,2019-06-22,6,Sábado,6,0.3548387096774194,0.09032258064516129
905878352825130_2256699621076323,https://www.facebook.com/NogginLA/posts/2256699621076323,Una plataforma de streaming on demand para preescolares. Ese es el servicio que prestamos a miles de familias que buscan contenidos digitales seguros para los más peques de casa. Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,06/15/2019 07:00:37 AM, ,369,369,0,465,465,0,41,39,60,0,0,294,241,0,0,10,35,37,0,0,97,106,0,0,6052,15145,4.0,1.0,0.0,4.0,1.0,0.0,30.0,24.0,1.0,0.0,33.0,26.0,1.0,0.0,0.0,0.0,Latinoamérica,2019-06-15,7,Sábado,6,0.26287262872628725,0.08130081300813008
905878352825130_2257157257697226,https://www.facebook.com/NogginLA/posts/2257157257697226,"No te pierdas de nuestro MEGA estreno Rainbow Rangers, una serie que celebra la singularidad y las diferencias de un equipo 💛💙💚🧡💜 ¡Descarga la app para verla offline!",Video,0.0,0.0,06/14/2019 07:40:57 PM, ,310,310,0,394,395,0,29,27,44,0,0,283,224,0,0,2,34,36,0,0,90,95,0,0,6294,18814,3.0,0.0,0.0,3.0,0.0,0.0,24.0,16.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-14,19,Viernes,6,0.2903225806451613,0.06129032258064516
905878352825130_2240430762703209,https://www.facebook.com/NogginLA/posts/2240430762703209,En Noggin tenemos dos opciones que celebran las diferencias y el trabajo en equipo: nuestra patrulla favorita de cachorros Paw Patrol y el nuevo equipo de rescatistas multicolor Rainbow Rangers! ¿A quién verá tu peque? Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,06/08/2019 08:00:01 AM, ,355,355,0,458,458,0,69,68,99,1,1,331,253,0,0,6,67,81,0,0,127,152,0,0,8611,17022,1.0,0.0,0.0,1.0,0.0,0.0,63.0,23.0,0.0,0.0,72.0,27.0,0.0,0.0,1.0,1.0,Latinoamérica,2019-06-08,8,Sábado,6,0.35774647887323946,0.0676056338028169
905878352825130_2240417886037830,https://www.facebook.com/NogginLA/posts/2240417886037830,"¿Qué es lo mejor de nuestro MEGA ESTRENO Rainbow Rangers? Cada una de las Rangers tiene un talento único que aporta al equipo, no solo para rescatar, sino también para ampliar la empatía y la compasión. ¡Si aún no tienes Noggin, descárgala ya!",Video,0.0,0.0,06/07/2019 08:00:02 AM, ,262,262,0,338,338,0,39,37,50,0,0,238,184,0,0,3,31,33,0,0,83,87,0,0,9723,30910,3.0,0.0,0.0,3.0,0.0,0.0,37.0,7.0,0.0,0.0,41.0,9.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-07,8,Viernes,6,0.31679389312977096,0.03816793893129771
905878352825130_1023450517848511,https://www.facebook.com/NogginLA/videos/1023450517848511/,0,Video,0.0,0.0,06/01/2019 10:25:56 AM, ,251,251,0,322,322,0,385,384,539,0,0,52,29,0,0,35,65,82,0,0,307,400,0,0,34643,34643,2.0,0.0,0.0,2.0,0.0,0.0,384.0,26.0,0.0,0.0,511.0,28.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-01,10,Sábado,6,1.2231075697211156,0.11155378486055777
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,Noggin Latinoamérica,Photo,0.0,0.0,06/01/2019 10:18:07 AM, ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-06-01,10,Sábado,6,0.0,0.0
905878352825130_2216052448474374,https://www.facebook.com/NogginLA/posts/2216052448474374,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,0.0,0.0,05/31/2019 07:15:00 AM, ,281,281,0,378,378,0,48,46,70,0,0,266,190,0,0,12,49,55,0,0,87,99,0,0,5437,8810,2.0,0.0,0.0,2.0,0.0,0.0,39.0,22.0,0.0,0.0,44.0,26.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-31,7,Viernes,5,0.3096085409252669,0.08540925266903915
905878352825130_2207713105974975,https://www.facebook.com/NogginLA/posts/2207713105974975,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,0.0,0.0,05/31/2019 07:00:00 AM, ,411,411,0,558,558,0,50,46,68,0,0,375,276,0,0,10,42,46,0,0,83,94,0,0,4466,8810,6.0,1.0,0.0,6.0,1.0,0.0,38.0,19.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-31,7,Viernes,5,0.20194647201946472,0.06326034063260341
905878352825130_2207709159308703,https://www.facebook.com/NogginLA/posts/2207709159308703,Mayo es el mes para agradecer los cuidados de mamá y tenemos un especial increíble para tú y tus peques. Entérate haciendo clic en el post y descarga la app para celebrar en familia 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Photo,0.0,0.0,05/24/2019 07:00:00 AM, ,2749,2749,0,3761,3761,0,391,389,410,0,0,3515,2563,0,0,362,0,0,0,0,0,0,0,0,0,0,15.0,1.0,1.0,15.0,1.0,1.0,0.0,15.0,6.0,381.0,0.0,16.0,6.0,388.0,0.0,0.0,Latinoamérica,2019-05-24,7,Viernes,5,0.0,0.013823208439432522
905878352825130_2214707595275526,https://www.facebook.com/NogginLA/posts/2214707595275526,Noggin Latinoamérica updated their website address.,Link,0.0,0.0,05/21/2019 11:06:51 AM, ,348,348,0,435,435,0,11,9,9,1,1,352,279,0,0,6,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,Latinoamérica,2019-05-21,11,Martes,5,0.0,0.031609195402298854
905878352825130_2207408522672100,https://www.facebook.com/NogginLA/posts/2207408522672100,"La seguridad de tu hijo es nuestra prioridad. Sin comerciales y con una plataforma certificada, garantizamos su protección.",Video,0.0,0.0,05/18/2019 07:00:00 AM, ,216957,661,216775,462493,878,461615,3560,3444,8133,0,0,9352,2518,9097,2363,60,49,53,5945,6667,142,188,45123,62164,3173,28435,190.0,26.0,4.0,200.0,26.0,5.0,3355.0,136.0,0.0,0.0,7969.0,164.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-18,7,Sábado,5,0.0006545075752338021,0.0016408781463607997
905878352825130_2207405492672403,https://www.facebook.com/NogginLA/posts/2207405492672403,"Tenemos los mejores shows de Nick Jr., juegos y especiales para que tu peque aprenda mientras disfruta. ¡Descárgala ya!",Video,0.0,0.0,05/17/2019 07:47:36 AM, ,167989,1133,166848,331862,1492,330370,3466,3294,5095,0,0,2824,1303,2515,1110,48,90,109,10306,10859,273,329,58774,75559,3992,18985,209.0,35.0,9.0,218.0,36.0,12.0,3211.0,157.0,0.0,0.0,4923.0,172.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-17,7,Viernes,5,0.0016251064057765687,0.0024406359940234183
905878352825130_2195757873837165,https://www.facebook.com/NogginLA/posts/2195757873837165,"La importancia de involucrarse y ayudar a nuestra comunidad y amigos es el mensaje más importante de Sunny Day, nuestro súper estreno del mes. ¡Descarga la app para disfrutarlo con tu peque!",Video,0.0,0.0,05/11/2019 06:00:00 AM, ,241,241,0,327,327,0,76,72,105,0,0,236,164,0,0,10,50,53,0,0,105,122,0,0,8158,18366,5.0,0.0,0.0,5.0,0.0,0.0,68.0,29.0,0.0,0.0,73.0,32.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-11,6,Sábado,5,0.43568464730290457,0.14107883817427386
905878352825130_2195654820514137,https://www.facebook.com/NogginLA/posts/2195654820514137,¿Sabes de qué trata nuestro estreno del mes? Sunny Day es una chica dueña de su propio salón y con su talento de estilista resuelve miles de problemas. Es un modelo de buen liderazgo y de cómo mantenerse fiel a una misma para miles de niñas. ¡No se lo pierdan!,Video,0.0,0.0,05/10/2019 09:32:30 AM, ,242,242,0,335,335,0,46,44,67,0,0,242,169,0,0,6,30,36,0,0,71,85,0,0,9195,35305,2.0,0.0,1.0,2.0,0.0,1.0,38.0,22.0,0.0,0.0,43.0,24.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-10,9,Viernes,5,0.29338842975206614,0.10330578512396695
905878352825130_2181902081889411,https://www.facebook.com/NogginLA/posts/2181902081889411,"Aparte del factor bilingüe, todas las temporadas de Dora la Exploradora trabajan el sentido de la ubicación a través de mapas, pistas y desafíos para los preescolares. ¡Descarga la app para disfrutarlo con tu peque!",Video,0.0,0.0,05/04/2019 06:00:01 AM, ,801,801,0,1053,1053,0,288,276,398,0,0,587,466,0,0,20,234,249,0,0,433,487,0,0,16482,25363,18.0,7.0,4.0,19.0,7.0,5.0,254.0,66.0,0.0,0.0,316.0,82.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-04,6,Sábado,5,0.5405742821473158,0.11860174781523096
905878352825130_2181897768556509,https://www.facebook.com/NogginLA/posts/2181897768556509,Dora tiene una actitud proactiva y también es reflexiva y paciente. A menudo decide &quot;detenerse y pensar&quot; en un problema cuando no puede resolverlo de inmediato. No se pierdan la NUEVA TEMPORADA COMPLETA de Dora la Exploradora. ¡Descarga la app para disfrutarlo con tu peque!,Video,0.0,0.0,05/02/2019 07:48:00 AM, ,492,492,0,690,690,0,348,340,439,0,0,345,261,0,0,11,246,281,0,0,386,449,0,0,13806,18387,10.0,1.0,0.0,10.0,2.0,0.0,330.0,34.0,0.0,0.0,394.0,45.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-05-02,7,Jueves,5,0.7845528455284553,0.09146341463414634
905878352825130_2172418216171131,https://www.facebook.com/NogginLA/posts/2172418216171131,"¿Puedes nombrar tu show favorito con emojis? Noggin pone a tu disposición los mejores contenidos de Nick Jr. con novedades cada mes, mega estrenos y especiales para que tu peque se eduque y entretenga. ¡Descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/27/2019 07:00:01 AM, ,544,544,0,758,758,0,55,50,80,0,0,538,396,0,0,22,30,33,0,0,112,123,0,0,6048,24190,6.0,1.0,0.0,6.0,1.0,0.0,35.0,31.0,1.0,0.0,39.0,40.0,1.0,0.0,0.0,0.0,Latinoamérica,2019-04-27,7,Sábado,4,0.20588235294117646,0.07169117647058823
905878352825130_2172339396179013,https://www.facebook.com/NogginLA/posts/2172339396179013,"Noggin está 100% pensado para el bienestar de los peques. Con contenido creado por expertos y una plataforma cerrada, somos una forma segura de monitorear la información digital que consume tu hijo #protegeatushijos 
Android: https://goo.gl/A8pm8K
iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/26/2019 08:28:04 AM, ,555,555,0,783,783,0,37,30,45,0,0,590,425,0,0,16,38,42,0,0,114,124,0,0,4852,13694,7.0,1.0,0.0,7.0,1.0,0.0,20.0,17.0,0.0,0.0,23.0,22.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-26,8,Viernes,4,0.20540540540540542,0.04504504504504504
905878352825130_2158602790886007,https://www.facebook.com/NogginLA/posts/2158602790886007,"¿Qué valores comunica Nella la Princesa Valiente a tu peque? Autoconfianza, inclusión y que lo importante es disfrutar del proceso de sortear los distintos obstáculos que se te presentan. Descarga la app 👉📱 Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/20/2019 07:00:01 AM, ,367,367,0,513,513,0,46,43,84,0,0,387,271,0,0,9,36,37,0,0,78,96,0,0,5829,18387,1.0,1.0,0.0,1.0,1.0,0.0,40.0,16.0,0.0,0.0,55.0,29.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-20,7,Sábado,4,0.2125340599455041,0.04904632152588556
905878352825130_2158600617552891,https://www.facebook.com/NogginLA/posts/2158600617552891,¿Buscas entretenimiento educativo para tu peque? Rusty Rivets presenta las técnicas básicas del proceso de ingeniería para preescolares - lo justo para sembrar un interés. ¡Descarga Noggin y disfruta de las mejores series de Nick Jr sin publicidad! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,04/19/2019 07:00:00 AM, ,438,438,0,612,612,0,46,41,71,0,0,431,303,0,0,12,35,41,0,0,98,106,0,0,5426,16338,2.0,2.0,0.0,2.0,2.0,0.0,37.0,18.0,1.0,0.0,45.0,25.0,1.0,0.0,0.0,0.0,Latinoamérica,2019-04-19,7,Viernes,4,0.2237442922374429,0.05251141552511415
905878352825130_2150540631692223,https://www.facebook.com/NogginLA/posts/2150540631692223,"¡Llega Semana Santa y con ella el especial Cuentos de Pascua! Blaze, Paw Patrol y Team Umizoomi necesitarán la ayuda de tu peque para encontrar los huevos de pascuas y otros dulces festivos. ¡Descarga Noggin y obtén 7 días gratis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/13/2019 06:00:16 AM, ,342,342,0,471,471,0,42,39,118,0,0,332,258,0,0,10,39,54,0,0,81,110,0,0,8522,15635,6.0,0.0,0.0,6.0,0.0,0.0,34.0,15.0,0.0,0.0,97.0,21.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-13,6,Sábado,4,0.23684210526315788,0.06140350877192982
905878352825130_2150531545026465,https://www.facebook.com/NogginLA/posts/2150531545026465,"Nella la Princesa Valiente es una princesa dedicada a actividades reales y se transforma cuando ella o sus amigos se encuentran en problemas. Su mensaje es excelente para niños porque les recuerda que no estamos definidos por cómo nos vemos, sino por lo que creemos que podemos hacer.",Video,0.0,0.0,04/12/2019 09:47:52 AM, ,319,319,0,434,434,0,43,42,101,0,0,298,227,0,0,12,37,46,0,0,68,92,0,0,6325,15379,2.0,0.0,0.0,2.0,0.0,0.0,42.0,7.0,0.0,0.0,87.0,14.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-12,9,Viernes,4,0.21316614420062696,0.02821316614420063
905878352825130_2138116199601333,https://www.facebook.com/NogginLA/posts/2138116199601333,"¡Llegó Nella la Princesa Valiente, el mega estreno del mes! Descarga la serie que cambiará el mundo de las princesas para siempre 👑🗡💖🛡. Encuéntrala y disfrútala offline con tu peque 🤳

Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/05/2019 07:50:00 AM, ,374,374,0,491,491,0,130,127,219,0,0,263,212,0,0,8,76,84,0,0,154,191,0,0,14182,30377,4.0,1.0,0.0,5.0,1.0,0.0,123.0,18.0,0.0,0.0,178.0,41.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-05,7,Viernes,4,0.4117647058823529,0.06149732620320856
905878352825130_2138107082935578,https://www.facebook.com/NogginLA/posts/2138107082935578,¡Tenemos una nueva temporada completa de Pistas de Blue! ¿Lo conoces? Es el show que revolucionó el género de serie animada educativa al invitar a sus espectadores a participar. ¡Descarga la app de Noggin para que tu peque obtenga este beneficio!,Video,0.0,0.0,04/04/2019 08:34:39 AM, ,401,401,0,545,545,0,244,238,313,0,0,314,227,0,0,13,173,210,0,0,286,340,0,0,13032,18643,8.0,1.0,0.0,9.0,2.0,0.0,235.0,24.0,0.0,0.0,286.0,27.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-04-04,8,Jueves,4,0.713216957605985,0.08229426433915212
905878352825130_2133377510075202,https://www.facebook.com/NogginLA/posts/2133378240075129:0,Noggin Latinoamérica,Photo,0.0,0.0,04/01/2019 07:48:17 AM, ,9,9,0,10,10,0,24,8,12,0,0,3,2,0,0,9,0,0,0,0,0,0,0,0,0,0,14.0,0.0,2.0,22.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,Latinoamérica,2019-04-01,7,Lunes,4,0.0,1.7777777777777777
905878352825130_2128571497222470,https://www.facebook.com/NogginLA/posts/2128571497222470,"Los Chocolix es nuestra nueva serie. Trae interesantes relatos de familia y muuuuuchas choco canciones para bailar con tus peques ¡Descarga Noggin ya! 
Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/31/2019 06:00:00 AM, ,630,630,0,838,838,0,83,75,177,0,0,681,530,0,0,17,26,33,0,0,133,182,0,0,11174,56297,6.0,2.0,0.0,6.0,2.0,0.0,68.0,18.0,0.0,0.0,141.0,36.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-03-31,6,Domingo,3,0.2111111111111111,0.04126984126984127
