Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Region,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_367896447168469,https://www.facebook.com/NogginBR/videos/367896447168469/,0,Video,0.0,0.0,06/01/2019 10:17:27 AM, ,154,154,0,213,213,0,64,57,84,0,0,9,7,0,0,7,16,31,0,0,78,117,0,0,34643,34643,5.0,2.0,1.0,6.0,2.0,1.0,57.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,Brasil,2019-06-01,10,Sábado,6,0.5064935064935064,0.05194805194805195
199643730387838_900764166942454,https://www.facebook.com/NogginBR/posts/900764270275777:0,Noggin BR,Photo,0.0,0.0,06/01/2019 10:00:04 AM, ,1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brasil,2019-06-01,10,Sábado,6,0.0,5.0
199643730387838_893577870994417,https://www.facebook.com/NogginBR/posts/893577870994417,"Todos os meses temos alguma novidade no app do Noggin. De temporadas completas a estreias de séries, músicas e jogos: as surpresas não param nunca! Faça o download do app e curta com os seus pequenos uma nova forma de interagir e aprender online.",Video,0.0,0.0,05/31/2019 07:30:00 AM, ,390,390,0,531,531,0,19,15,26,0,0,86,55,0,0,4,41,47,0,0,72,84,0,0,3933,8810,3.0,2.0,0.0,3.0,2.0,0.0,12.0,9.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,Brasil,2019-05-31,7,Viernes,5,0.18461538461538463,0.035897435897435895
199643730387838_895112867507584,https://www.facebook.com/NogginBR/posts/895112867507584,Maio é o mês para agradecer os cuidados da mamãe e por isso temos um especial incrível para você curtir com os pequenos. Acesse esse presente clicando no link do post e baixe o app para celebrar em família! 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Photo,0.0,0.0,05/24/2019 12:47:13 PM, ,302,302,0,373,373,0,12,6,9,0,0,351,281,0,0,9,0,0,0,0,0,0,0,0,0,0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,3.0,0.0,0.0,Brasil,2019-05-24,12,Viernes,5,0.0,0.03642384105960265
199643730387838_893030457715825,https://www.facebook.com/NogginBR/posts/893030457715825,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção! 👊",Video,0.0,0.0,05/21/2019 10:05:00 AM, ,75804,441,75472,195422,598,194824,516,479,622,0,0,568,310,425,226,7,11,12,2954,3651,56,66,15589,25313,3244,28435,42.0,3.0,3.0,47.0,3.0,11.0,450.0,32.0,0.0,0.0,584.0,38.0,0.0,0.0,0.0,0.0,Brasil,2019-05-21,10,Martes,5,0.0007387472956572212,0.0010553532795103161
199643730387838_890373977981473,https://www.facebook.com/NogginBR/posts/890373977981473,"Nós temos os melhores programas do Nick Jr., jogos e especiais para que os seus pequenos aprendam enquanto se divertem. Baixe já o Noggin!",Video,0.0,0.0,05/17/2019 04:15:15 PM, ,92490,724,91821,158088,961,157127,1483,1307,1872,1,1,514,291,405,223,11,25,30,12319,13698,99,116,36399,44920,5098,18837,181.0,25.0,5.0,188.0,25.0,16.0,583.0,41.0,778.0,0.0,1023.0,52.0,797.0,0.0,1.0,1.0,Brasil,2019-05-17,16,Viernes,5,0.0010703859876743432,0.01113633906368256
199643730387838_886209188397952,https://www.facebook.com/NogginBR/posts/886209188397952,"A importância de participar e ajudar a nossa comunidade e amigos 🤝 é a mensagem mais importante de ☀️ Sunny Day, nossa super estreia do mês. Baixe o app para curtir com o seu pequeno! 😀",Video,0.0,0.0,05/12/2019 07:37:00 AM, ,100,100,0,138,138,0,14,11,12,0,0,100,71,0,0,6,9,10,0,0,26,37,0,0,8853,18366,4.0,1.0,0.0,5.0,1.0,0.0,8.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,Brasil,2019-05-12,7,Domingo,5,0.26,0.08
199643730387838_885209668497904,https://www.facebook.com/NogginBR/posts/885209668497904,Sunny Day é dona de um salão de beleza 💇 e resolve qualquer problema 💁🏾 com seu talento. A personagem é um exemplo positivo de como se manter fiel à própria vocação. A criançada da sua casa não pode perder o nosso lançamento do mês!,Video,0.0,0.0,05/11/2019 01:30:00 PM, ,220,220,0,348,348,0,104,98,131,0,0,175,116,0,0,8,74,96,0,0,160,207,0,0,22308,35305,8.0,3.0,2.0,8.0,3.0,4.0,93.0,13.0,0.0,0.0,117.0,14.0,0.0,0.0,0.0,0.0,Brasil,2019-05-11,13,Sábado,5,0.7272727272727273,0.11818181818181818
199643730387838_292566431655062,https://www.facebook.com/NogginBR/videos/292566431655062/,0,Video,0.0,0.0,05/08/2019 01:18:45 PM, ,32,32,0,49,49,0,33,32,51,0,0,14,7,0,0,7,12,22,0,0,29,62,0,0,30377,30377,1.0,1.0,0.0,1.0,1.0,0.0,32.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,Brasil,2019-05-08,13,Miércoles,5,0.90625,0.09375
199643730387838_881197475565790,https://www.facebook.com/NogginBR/posts/881197475565790,"Além do fator bilíngue, todas as temporadas de Dora A Aventureira trabalham o sentido de direção ↔️ através de mapas 🗺️, pistas e desafios criados para os pré-escolares. Faça o download do app 📲 para o seu pequeno aprender e se divertir com a Dora e o Mapa onde, quando e quantas vezes quiser!",Video,0.0,0.0,05/04/2019 11:23:45 AM, ,534,534,0,727,727,0,31,25,39,0,0,150,89,0,0,4,22,22,0,0,74,91,0,0,5263,24595,3.0,4.0,2.0,5.0,4.0,3.0,14.0,15.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,Brasil,2019-05-04,11,Sábado,5,0.13857677902621723,0.0449438202247191
199643730387838_880044089014462,https://www.facebook.com/NogginBR/posts/880044089014462,"Dora tem uma atitude proativa e também é reflexiva e paciente, já que muitas vezes decide &quot;parar e pensar&quot; em um problema quando não consegue resolvê-lo de imediato. Não percam a NOVA TEMPORADA COMPLETA de Dora, A Aventureira. Baixe o app para curtir com o seu pequeno!",Video,0.0,0.0,05/02/2019 04:37:41 PM, ,127,127,0,187,187,0,68,64,80,0,0,115,76,0,0,2,42,48,0,0,83,98,0,0,10778,17257,3.0,3.0,0.0,3.0,3.0,0.0,63.0,5.0,0.0,0.0,75.0,5.0,0.0,0.0,0.0,0.0,Brasil,2019-05-02,16,Jueves,5,0.6535433070866141,0.08661417322834646
199643730387838_876107642741440,https://www.facebook.com/NogginBR/posts/876107642741440,"Pode ter certeza de que o Noggin coloca à sua disposição os melhores programas do Nick Jr. com uma atualização mensal, incluindo super lançamentos e especiais para que o seu pequeno aprenda enquanto se diverte. Baixe agora mesmo! Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,0.0,0.0,04/27/2019 01:00:00 PM, ,473,473,0,646,646,0,14,12,18,0,0,125,83,0,0,4,16,18,0,0,55,62,0,0,4476,24190,3.0,2.0,0.0,5.0,3.0,0.0,9.0,5.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,Brasil,2019-04-27,13,Sábado,4,0.11627906976744186,0.021141649048625793
199643730387838_876106479408223,https://www.facebook.com/NogginBR/posts/876106479408223,"O Noggin é 100% pensado para o bem-estar 🤗 dos pequenos. Com conteúdo criado por especialistas 👨🏾‍🏫 e uma plataforma fechada 🔐, somos um jeito seguro de monitorar 👀 a informação digital que seus filhos consomem #protejasuacrianca Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,0.0,0.0,04/26/2019 02:57:44 PM, ,191,191,0,245,245,0,8,4,5,0,0,92,71,0,0,2,7,9,0,0,28,37,0,0,2972,13694,4.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-04-26,14,Viernes,4,0.14659685863874344,0.041884816753926704
199643730387838_870043650014506,https://www.facebook.com/NogginBR/posts/870043650014506,"Quais valores Nella, Uma Princesa Corajosa comunica para as crianças? A auto-confiança e a inclusão. Que o importante não é ganhar, mas sim aproveitar o processo que permite superar os diferentes obstáculos que se apresentam. Link em nossa bio para você baixar o app no seu dispositivo 👉📱",Video,0.0,0.0,04/20/2019 04:31:00 PM, ,227,227,0,310,310,0,12,8,12,0,0,257,191,0,0,6,18,21,0,0,42,56,0,0,7635,18387,4.0,2.0,2.0,5.0,2.0,2.0,7.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,Brasil,2019-04-20,16,Sábado,4,0.18502202643171806,0.04405286343612335
199643730387838_870036846681853,https://www.facebook.com/NogginBR/posts/870036846681853,Em busca de entretenimento educativo para o seu pequeno? Rusty Rivets apresenta as técnicas básicas do processo de engenharia de forma lúdica para pré-escolares. Na medida ideal para semear interesse e curiosidade. Baixe o Noggin e curta as melhores séries do Nick Jr. sem publicidade! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,04/19/2019 10:00:00 AM, ,353,353,0,441,441,0,16,10,14,0,0,120,98,0,0,2,15,16,0,0,58,70,0,0,3702,17214,4.0,3.0,1.0,5.0,3.0,1.0,8.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-04-19,10,Viernes,4,0.1643059490084986,0.028328611898016998
199643730387838_867703946915143,https://www.facebook.com/NogginBR/posts/867703946915143,"A Semana Santa chegou e com ela, o especial Contos de Páscoa! Blaze, Patrulha Canina e Team Umizoomi precisam da ajuda dos seus filhos para encontrar os ovos de páscoa e outras surpresas. Baixe o Noggin e obtenha 7 dias grátis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/14/2019 07:05:00 AM, ,490,490,0,694,694,0,22,11,12,0,0,152,87,0,0,4,23,25,0,0,58,70,0,0,4176,15635,9.0,2.0,3.0,11.0,3.0,5.0,10.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-04-14,7,Domingo,4,0.11836734693877551,0.0326530612244898
199643730387838_866802820338589,https://www.facebook.com/NogginBR/posts/866802820338589,"Nella é uma princesa tradicional que se dedica a atividades reais, mas se transforma quando ela ou seus amigos se encontram em problemas. A mensagem de “Nella, Uma Princesa Corajosa” é excelente para crianças, porque lhes transmite que não somos definidos por nossa aparência, mas sim pelo que acreditamos que podemos ser e fazer.",Video,0.0,0.0,04/12/2019 11:59:02 AM, ,577,577,0,796,796,0,31,25,29,0,0,191,124,0,0,6,29,31,0,0,69,82,0,0,5547,15379,6.0,3.0,3.0,8.0,4.0,5.0,25.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,Brasil,2019-04-12,11,Viernes,4,0.1195840554592721,0.02079722703639515
199643730387838_862309947454543,https://www.facebook.com/NogginBR/posts/862309947454543,"Chegou “Nella, Uma Princesa Corajosa”, o mega lançamento do mês, a série que transformará o mundo das princesas para sempre 👑🗡💖🛡. Faça o download do Noggin para que a criançada da sua casa possa curtir esse e outros programas do Nick Jr, off-line e sem comerciais! 🤳Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,04/05/2019 01:53:10 PM, ,537,537,0,724,724,0,51,46,57,0,0,107,60,0,0,4,39,42,0,0,105,125,0,0,7022,30633,6.0,3.0,2.0,9.0,5.0,3.0,39.0,8.0,0.0,0.0,45.0,12.0,0.0,0.0,0.0,0.0,Brasil,2019-04-05,13,Viernes,4,0.19553072625698323,0.035381750465549346
199643730387838_861682524183952,https://www.facebook.com/NogginBR/posts/861682524183952,"Temos mais uma temporada de 🐾 Pistas de Blue, o programa que revolucionou o gênero de série animada educativa, ao estimular a participação de seus espectadores. Baixe o app para que seus pequenos assistam e encontrem as pistas... com Blue! 🐾",Video,0.0,0.0,04/04/2019 02:39:47 PM, ,91,91,0,143,143,0,37,35,43,0,0,94,60,0,0,6,19,19,0,0,50,64,0,0,9329,18643,5.0,1.0,1.0,6.0,1.0,1.0,33.0,5.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,0.0,Brasil,2019-04-04,14,Jueves,4,0.5494505494505495,0.13186813186813187
199643730387838_2128005950628989,https://www.facebook.com/NogginBR/videos/2128005950628989/,0,Video,0.0,0.0,04/01/2019 03:57:42 PM, ,40,40,0,67,67,0,53,51,94,0,0,9,7,0,0,9,14,34,0,0,46,95,0,0,30547,30547,3.0,1.0,0.0,3.0,1.0,0.0,50.0,1.0,0.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,Brasil,2019-04-01,15,Lunes,4,1.15,0.125
199643730387838_859846127700925,https://www.facebook.com/NogginBR/posts/859846207700917:0,Noggin BR,Photo,0.0,0.0,04/01/2019 03:51:27 PM, ,123,123,0,165,165,0,14,1,1,0,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,13.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Brasil,2019-04-01,15,Lunes,4,0.0,0.12195121951219512
199643730387838_858488464503358,https://www.facebook.com/NogginBR/posts/858488464503358,"Situações familiares e muuuuuitas choco músicas para dançar 💃🏽 com a criançada: tudo isso e muito mais você encontra na nossa nova série, 🍫Os Chocolix. Não fiquem de fora! Baixe já o Noggin! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/30/2019 12:49:01 PM, ,144,144,0,185,185,0,8,5,5,0,0,137,111,0,0,2,4,5,0,0,19,23,0,0,5346,56297,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Brasil,2019-03-30,12,Sábado,3,0.13194444444444445,0.041666666666666664
