"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,"Noggin Latinoamérica",Photo,,,"06/01/2019 10:18:07 AM"," ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,2,,,,,,,,,,,,
905878352825130_2216052448474374,https://www.facebook.com/NogginLA/posts/2216052448474374,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,,,"05/31/2019 07:15:00 AM"," ",252,252,0,340,340,0,34,32,46,0,0,248,179,0,0,10,34,36,0,0,64,71,0,0,4541,8810,2,,,2,,,26,14,,,30,16,,,,
905878352825130_2207713105974975,https://www.facebook.com/NogginLA/posts/2207713105974975,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,,,"05/31/2019 07:00:00 AM"," ",384,384,0,528,528,0,38,34,49,0,0,364,268,0,0,10,31,34,0,0,65,73,0,0,3261,8810,6,1,,6,1,,27,15,,,33,16,,,,
905878352825130_2207709159308703,https://www.facebook.com/NogginLA/posts/2207709159308703,"Mayo es el mes para agradecer los cuidados de mamá y tenemos un especial increíble para tú y tus peques. Entérate haciendo clic en el post y descarga la app para celebrar en familia 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Photo,,,"05/24/2019 07:00:00 AM"," ",2741,2741,0,3749,3749,0,385,383,403,0,0,3514,2563,0,0,362,0,0,0,0,0,0,0,0,0,0,14,1,1,14,1,1,,15,377,5,,16,382,5,,
905878352825130_2214707595275526,https://www.facebook.com/NogginLA/posts/2214707595275526,"Noggin Latinoamérica updated their website address.",Link,,,"05/21/2019 11:06:51 AM"," ",336,336,0,425,425,0,9,7,7,1,1,351,278,0,0,5,0,0,0,0,0,0,0,0,0,0,2,,,2,,,,5,,2,,5,,2,1,1
905878352825130_2207408522672100,https://www.facebook.com/NogginLA/posts/2207408522672100,"La seguridad de tu hijo es nuestra prioridad. Sin comerciales y con una plataforma certificada, garantizamos su protección.",Video,,,"05/18/2019 07:00:00 AM"," ",216957,630,216775,462453,838,461615,3538,3423,8104,0,0,9343,2511,9097,2363,60,39,42,5945,6667,124,162,45123,62164,3171,28435,190,26,4,200,26,5,3334,133,,,7944,160,,,,
905878352825130_2207405492672403,https://www.facebook.com/NogginLA/posts/2207405492672403,"Tenemos los mejores shows de Nick Jr., juegos y especiales para que tu peque aprenda mientras disfruta. ¡Descárgala ya!",Video,,,"05/17/2019 07:47:36 AM"," ",167989,1081,166848,331808,1438,330370,3428,3259,5051,0,0,2811,1292,2515,1110,46,74,90,10306,10859,243,289,58774,75559,3986,18985,209,35,9,218,36,12,3178,149,,,4892,159,,,,
905878352825130_2195757873837165,https://www.facebook.com/NogginLA/posts/2195757873837165,"La importancia de involucrarse y ayudar a nuestra comunidad y amigos es el mensaje más importante de Sunny Day, nuestro súper estreno del mes. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/11/2019 06:00:00 AM"," ",222,222,0,308,308,0,56,52,79,0,0,228,158,0,0,10,37,41,0,0,86,99,0,0,7806,18366,4,,,4,,,48,25,,,51,28,,,,
905878352825130_2195654820514137,https://www.facebook.com/NogginLA/posts/2195654820514137,"¿Sabes de qué trata nuestro estreno del mes? Sunny Day es una chica dueña de su propio salón y con su talento de estilista resuelve miles de problemas. Es un modelo de buen liderazgo y de cómo mantenerse fiel a una misma para miles de niñas. ¡No se lo pierdan!",Video,,,"05/10/2019 09:32:30 AM"," ",227,227,0,320,320,0,38,37,57,0,0,234,162,0,0,6,28,33,0,0,65,78,0,0,9184,35305,2,,1,2,,1,32,18,,,37,20,,,,
905878352825130_2181902081889411,https://www.facebook.com/NogginLA/posts/2181902081889411,"Aparte del factor bilingüe, todas las temporadas de Dora la Exploradora trabajan el sentido de la ubicación a través de mapas, pistas y desafíos para los preescolares. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/04/2019 06:00:01 AM"," ",776,776,0,1021,1021,0,223,210,309,0,0,578,460,0,0,20,177,188,0,0,348,393,0,0,15350,25363,15,7,3,16,7,4,193,52,,,242,67,,,,
