"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,"Noggin Latinoamérica",Photo,,,"06/01/2019 10:18:07 AM"," ",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,,3,,,,,,,,,,,,
905878352825130_2216052448474374,https://www.facebook.com/NogginLA/posts/2216052448474374,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,,,"05/31/2019 07:15:00 AM"," ",281,281,0,378,378,0,48,46,70,0,0,266,190,0,0,12,49,55,0,0,87,99,0,0,5437,8810,2,,,2,,,39,22,,,44,26,,,,
905878352825130_2207713105974975,https://www.facebook.com/NogginLA/posts/2207713105974975,"Todos los meses tenemos algo nuevo en Noggin. Desde temporadas completas, estrenos de series, canciones y juegos; las sorpresas no paran. Descarga la app y disfruta con tu peque una nueva forma de consumir y aprender online.",Video,,,"05/31/2019 07:00:00 AM"," ",411,411,0,558,558,0,50,46,68,0,0,375,276,0,0,10,42,46,0,0,83,94,0,0,4466,8810,6,1,,6,1,,38,19,,,48,20,,,,
905878352825130_2207709159308703,https://www.facebook.com/NogginLA/posts/2207709159308703,"Mayo es el mes para agradecer los cuidados de mamá y tenemos un especial increíble para tú y tus peques. Entérate haciendo clic en el post y descarga la app para celebrar en familia 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Photo,,,"05/24/2019 07:00:00 AM"," ",2749,2749,0,3761,3761,0,391,389,410,0,0,3515,2563,0,0,362,0,0,0,0,0,0,0,0,0,0,15,1,1,15,1,1,,15,6,381,,16,6,388,,
905878352825130_2214707595275526,https://www.facebook.com/NogginLA/posts/2214707595275526,"Noggin Latinoamérica updated their website address.",Link,,,"05/21/2019 11:06:51 AM"," ",348,348,0,435,435,0,11,9,9,1,1,352,279,0,0,6,0,0,0,0,0,0,0,0,0,0,2,,,2,,,,5,4,,,5,4,,1,1
905878352825130_2207408522672100,https://www.facebook.com/NogginLA/posts/2207408522672100,"La seguridad de tu hijo es nuestra prioridad. Sin comerciales y con una plataforma certificada, garantizamos su protección.",Video,,,"05/18/2019 07:00:00 AM"," ",216957,661,216775,462493,878,461615,3560,3444,8133,0,0,9352,2518,9097,2363,60,49,53,5945,6667,142,188,45123,62164,3173,28435,190,26,4,200,26,5,3355,136,,,7969,164,,,,
905878352825130_2207405492672403,https://www.facebook.com/NogginLA/posts/2207405492672403,"Tenemos los mejores shows de Nick Jr., juegos y especiales para que tu peque aprenda mientras disfruta. ¡Descárgala ya!",Video,,,"05/17/2019 07:47:36 AM"," ",167989,1133,166848,331862,1492,330370,3466,3294,5095,0,0,2824,1303,2515,1110,48,90,109,10306,10859,273,329,58774,75559,3992,18985,209,35,9,218,36,12,3211,157,,,4923,172,,,,
905878352825130_2195757873837165,https://www.facebook.com/NogginLA/posts/2195757873837165,"La importancia de involucrarse y ayudar a nuestra comunidad y amigos es el mensaje más importante de Sunny Day, nuestro súper estreno del mes. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/11/2019 06:00:00 AM"," ",241,241,0,327,327,0,76,72,105,0,0,236,164,0,0,10,50,53,0,0,105,122,0,0,8158,18366,5,,,5,,,68,29,,,73,32,,,,
905878352825130_2195654820514137,https://www.facebook.com/NogginLA/posts/2195654820514137,"¿Sabes de qué trata nuestro estreno del mes? Sunny Day es una chica dueña de su propio salón y con su talento de estilista resuelve miles de problemas. Es un modelo de buen liderazgo y de cómo mantenerse fiel a una misma para miles de niñas. ¡No se lo pierdan!",Video,,,"05/10/2019 09:32:30 AM"," ",242,242,0,335,335,0,46,44,67,0,0,242,169,0,0,6,30,36,0,0,71,85,0,0,9195,35305,2,,1,2,,1,38,22,,,43,24,,,,
905878352825130_2181902081889411,https://www.facebook.com/NogginLA/posts/2181902081889411,"Aparte del factor bilingüe, todas las temporadas de Dora la Exploradora trabajan el sentido de la ubicación a través de mapas, pistas y desafíos para los preescolares. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/04/2019 06:00:01 AM"," ",801,801,0,1053,1053,0,288,276,398,0,0,587,466,0,0,20,234,249,0,0,433,487,0,0,16482,25363,18,7,4,19,7,5,254,66,,,316,82,,,,
905878352825130_2181897768556509,https://www.facebook.com/NogginLA/posts/2181897768556509,"Dora tiene una actitud proactiva y también es reflexiva y paciente. A menudo decide &quot;detenerse y pensar&quot; en un problema cuando no puede resolverlo de inmediato. No se pierdan la NUEVA TEMPORADA COMPLETA de Dora la Exploradora. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/02/2019 07:48:00 AM"," ",492,492,0,690,690,0,348,340,439,0,0,345,261,0,0,11,246,281,0,0,386,449,0,0,13806,18387,10,1,,10,2,,330,34,,,394,45,,,,
