Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2207713105974975,https://www.facebook.com/NogginLA/posts/2207713105974975,Video,0.0,0.0,05/31/2019 07:00:00 AM, ,384,384,0,528,528,0,38,34,49,0,0,364,268,0,0,10,31,34,0,0,65,73,0,0,3261,8810,6.0,1.0,0.0,6.0,1.0,0.0,27.0,15.0,0.0,0.0,33.0,16.0,0.0,0.0,0.0,0.0,2019-05-31,7,Viernes,5,0.1693,0.0573
905878352825130_2207709159308703,https://www.facebook.com/NogginLA/posts/2207709159308703,Photo,0.0,0.0,05/24/2019 07:00:00 AM, ,2741,2741,0,3749,3749,0,385,383,403,0,0,3514,2563,0,0,362,0,0,0,0,0,0,0,0,0,0,14.0,1.0,1.0,14.0,1.0,1.0,0.0,15.0,377.0,5.0,0.0,16.0,382.0,5.0,0.0,0.0,2019-05-24,7,Viernes,5,0.0,0.0131
905878352825130_2214707595275526,https://www.facebook.com/NogginLA/posts/2214707595275526,Link,0.0,0.0,05/21/2019 11:06:51 AM, ,336,336,0,425,425,0,9,7,7,1,1,351,278,0,0,5,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,1.0,2019-05-21,11,Martes,5,0.0,0.0268
905878352825130_2207408522672100,https://www.facebook.com/NogginLA/posts/2207408522672100,Video,0.0,0.0,05/18/2019 07:00:00 AM, ,216957,630,216775,462453,838,461615,3538,3423,8104,0,0,9343,2511,9097,2363,60,39,42,5945,6667,124,162,45123,62164,3171,28435,190.0,26.0,4.0,200.0,26.0,5.0,3334.0,133.0,0.0,0.0,7944.0,160.0,0.0,0.0,0.0,0.0,2019-05-18,7,Sábado,5,0.0006,0.0016
905878352825130_2207405492672403,https://www.facebook.com/NogginLA/posts/2207405492672403,Video,0.0,0.0,05/17/2019 07:47:36 AM, ,167989,1081,166848,331808,1438,330370,3428,3259,5051,0,0,2811,1292,2515,1110,46,74,90,10306,10859,243,289,58774,75559,3986,18985,209.0,35.0,9.0,218.0,36.0,12.0,3178.0,149.0,0.0,0.0,4892.0,159.0,0.0,0.0,0.0,0.0,2019-05-17,7,Viernes,5,0.0014,0.0024
905878352825130_2195757873837165,https://www.facebook.com/NogginLA/posts/2195757873837165,Video,0.0,0.0,05/11/2019 06:00:00 AM, ,222,222,0,308,308,0,56,52,79,0,0,228,158,0,0,10,37,41,0,0,86,99,0,0,7806,18366,4.0,0.0,0.0,4.0,0.0,0.0,48.0,25.0,0.0,0.0,51.0,28.0,0.0,0.0,0.0,0.0,2019-05-11,6,Sábado,5,0.3874,0.1306
905878352825130_2195654820514137,https://www.facebook.com/NogginLA/posts/2195654820514137,Video,0.0,0.0,05/10/2019 09:32:30 AM, ,227,227,0,320,320,0,38,37,57,0,0,234,162,0,0,6,28,33,0,0,65,78,0,0,9184,35305,2.0,0.0,1.0,2.0,0.0,1.0,32.0,18.0,0.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,2019-05-10,9,Viernes,5,0.2863,0.0925
905878352825130_2181902081889411,https://www.facebook.com/NogginLA/posts/2181902081889411,Video,0.0,0.0,05/04/2019 06:00:01 AM, ,776,776,0,1021,1021,0,223,210,309,0,0,578,460,0,0,20,177,188,0,0,348,393,0,0,15350,25363,15.0,7.0,3.0,16.0,7.0,4.0,193.0,52.0,0.0,0.0,242.0,67.0,0.0,0.0,0.0,0.0,2019-05-04,6,Sábado,5,0.4485,0.0992
905878352825130_2181897768556509,https://www.facebook.com/NogginLA/posts/2181897768556509,Video,0.0,0.0,05/02/2019 07:48:00 AM, ,475,475,0,672,672,0,328,320,410,0,0,337,254,0,0,11,226,260,0,0,361,421,0,0,13803,18387,10.0,1.0,0.0,10.0,2.0,0.0,312.0,26.0,0.0,0.0,373.0,37.0,0.0,0.0,0.0,0.0,2019-05-02,7,Jueves,5,0.76,0.0779
905878352825130_2172418216171131,https://www.facebook.com/NogginLA/posts/2172418216171131,Video,0.0,0.0,04/27/2019 07:00:01 AM, ,525,525,0,740,740,0,47,41,68,0,0,531,389,0,0,22,26,28,0,0,103,113,0,0,5778,24190,5.0,1.0,0.0,5.0,1.0,0.0,28.0,27.0,0.0,1.0,32.0,35.0,0.0,1.0,0.0,0.0,2019-04-27,7,Sábado,4,0.1962,0.0648
905878352825130_2172339396179013,https://www.facebook.com/NogginLA/posts/2172339396179013,Video,0.0,0.0,04/26/2019 08:28:04 AM, ,537,537,0,767,767,0,33,26,38,0,0,583,418,0,0,16,36,40,0,0,108,117,0,0,4823,13694,7.0,1.0,0.0,7.0,1.0,0.0,17.0,15.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,2019-04-26,8,Viernes,4,0.2011,0.0428
905878352825130_2158602790886007,https://www.facebook.com/NogginLA/posts/2158602790886007,Video,0.0,0.0,04/20/2019 07:00:01 AM, ,350,350,0,496,496,0,36,34,68,0,0,379,264,0,0,9,31,32,0,0,69,86,0,0,5752,18387,1.0,1.0,0.0,1.0,1.0,0.0,31.0,14.0,0.0,0.0,43.0,25.0,0.0,0.0,0.0,0.0,2019-04-20,7,Sábado,4,0.1971,0.0457
905878352825130_2158600617552891,https://www.facebook.com/NogginLA/posts/2158600617552891,Video,0.0,0.0,04/19/2019 07:00:00 AM, ,420,420,0,597,597,0,37,33,60,0,0,424,296,0,0,12,29,35,0,0,88,96,0,0,5064,16338,2.0,2.0,0.0,2.0,2.0,0.0,30.0,14.0,0.0,1.0,38.0,21.0,0.0,1.0,0.0,0.0,2019-04-19,7,Viernes,4,0.2095,0.0452
905878352825130_2150540631692223,https://www.facebook.com/NogginLA/posts/2150540631692223,Video,0.0,0.0,04/13/2019 06:00:16 AM, ,328,328,0,457,457,0,39,36,106,0,0,325,251,0,0,10,34,47,0,0,75,102,0,0,6575,15635,6.0,0.0,0.0,6.0,0.0,0.0,31.0,14.0,0.0,0.0,86.0,20.0,0.0,0.0,0.0,0.0,2019-04-13,6,Sábado,4,0.2287,0.061
905878352825130_2150531545026465,https://www.facebook.com/NogginLA/posts/2150531545026465,Video,0.0,0.0,04/12/2019 09:47:52 AM, ,301,301,0,417,417,0,36,35,92,0,0,291,220,0,0,12,33,41,0,0,62,85,0,0,6284,15379,2.0,0.0,0.0,2.0,0.0,0.0,35.0,7.0,0.0,0.0,79.0,13.0,0.0,0.0,0.0,0.0,2019-04-12,9,Viernes,4,0.206,0.0299
905878352825130_2138116199601333,https://www.facebook.com/NogginLA/posts/2138116199601333,Video,0.0,0.0,04/05/2019 07:50:00 AM, ,360,360,0,476,476,0,118,115,205,0,0,256,205,0,0,8,71,79,0,0,140,177,0,0,14226,30377,4.0,1.0,0.0,5.0,1.0,0.0,111.0,17.0,0.0,0.0,166.0,39.0,0.0,0.0,0.0,0.0,2019-04-05,7,Viernes,4,0.3889,0.0611
905878352825130_2138107082935578,https://www.facebook.com/NogginLA/posts/2138107082935578,Video,0.0,0.0,04/04/2019 08:34:39 AM, ,385,385,0,529,529,0,219,214,266,0,0,306,222,0,0,13,159,178,0,0,259,291,0,0,12276,18643,7.0,1.0,0.0,8.0,2.0,0.0,209.0,22.0,0.0,0.0,241.0,25.0,0.0,0.0,0.0,0.0,2019-04-04,8,Jueves,4,0.6727,0.0779
905878352825130_2133377510075202,https://www.facebook.com/NogginLA/posts/2133378240075129:0,Photo,0.0,0.0,04/01/2019 07:48:17 AM, ,9,9,0,10,10,0,23,8,12,0,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,13.0,0.0,2.0,21.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2019-04-01,7,Lunes,4,0.0,0.0
905878352825130_2128571497222470,https://www.facebook.com/NogginLA/posts/2128571497222470,Video,0.0,0.0,03/31/2019 06:00:00 AM, ,619,619,0,826,826,0,67,60,157,0,0,674,525,0,0,17,24,31,0,0,116,163,0,0,10761,56297,6.0,2.0,0.0,6.0,2.0,0.0,53.0,17.0,0.0,0.0,123.0,34.0,0.0,0.0,0.0,0.0,2019-03-31,6,Domingo,3,0.1874,0.0404
905878352825130_2128560307223589,https://www.facebook.com/NogginLA/posts/2128560307223589,Video,0.0,0.0,03/29/2019 08:00:01 AM, ,714,714,0,963,963,0,303,298,536,0,0,770,583,0,0,27,281,410,0,0,374,540,0,0,9983,9983,15.0,1.0,0.0,18.0,1.0,0.0,286.0,28.0,0.0,2.0,496.0,38.0,0.0,2.0,0.0,0.0,2019-03-29,8,Viernes,3,0.5238,0.0644
905878352825130_2118249668254653,https://www.facebook.com/NogginLA/posts/2118249668254653,Video,0.0,0.0,03/23/2019 07:00:01 AM, ,343,343,0,518,518,0,33,33,73,0,0,368,253,0,0,13,22,23,0,0,83,99,0,0,4322,12478,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,0.0,0.0,49.0,24.0,0.0,0.0,0.0,0.0,2019-03-23,7,Sábado,3,0.242,0.0496
905878352825130_2118315324914754,https://www.facebook.com/NogginLA/posts/2118315324914754,Video,0.0,0.0,03/22/2019 12:22:37 PM, ,521,521,0,728,728,0,431,426,595,0,0,278,182,0,0,19,264,303,0,0,502,610,0,0,18035,26025,8.0,2.0,0.0,8.0,2.0,0.0,417.0,34.0,0.0,1.0,532.0,62.0,0.0,1.0,0.0,0.0,2019-03-22,12,Viernes,3,0.9635,0.0864
905878352825130_2108206655925621,https://www.facebook.com/NogginLA/posts/2108206655925621,Video,0.0,0.0,03/16/2019 08:00:17 AM, ,1700,1700,0,2309,2309,0,770,743,1348,1,1,1928,1472,0,0,62,703,1032,0,0,950,1434,0,0,13459,13459,32.0,3.0,0.0,36.0,3.0,0.0,716.0,67.0,0.0,5.0,1237.0,106.0,0.0,5.0,1.0,1.0,2019-03-16,8,Sábado,3,0.5588,0.0629
905878352825130_2108205592592394,https://www.facebook.com/NogginLA/posts/2108205592592394,Video,0.0,0.0,03/15/2019 10:55:00 AM, ,292,292,0,428,428,0,29,26,88,0,0,309,215,0,0,7,14,22,0,0,58,89,0,0,7496,22526,4.0,0.0,0.0,4.0,0.0,0.0,23.0,11.0,0.0,0.0,69.0,19.0,0.0,0.0,0.0,0.0,2019-03-15,10,Viernes,3,0.1986,0.0514
905878352825130_2089493151130305,https://www.facebook.com/NogginLA/posts/2089493151130305,Video,0.0,0.0,03/09/2019 05:00:02 AM, ,760,760,0,1045,1045,0,128,125,287,0,0,524,386,0,0,21,90,105,0,0,235,291,0,0,15474,40363,6.0,2.0,2.0,7.0,2.0,2.0,106.0,42.0,0.0,1.0,210.0,76.0,0.0,1.0,0.0,0.0,2019-03-09,5,Sábado,3,0.3092,0.0697
905878352825130_2089476234465330,https://www.facebook.com/NogginLA/posts/2089476234465330,Video,0.0,0.0,03/08/2019 07:00:02 AM, ,685,685,0,930,930,0,281,279,477,0,0,297,217,0,0,13,105,133,0,0,319,391,0,0,46934,96105,11.0,0.0,0.0,13.0,0.0,0.0,268.0,82.0,0.0,0.0,374.0,103.0,0.0,0.0,0.0,0.0,2019-03-08,7,Viernes,3,0.4657,0.1358
905878352825130_2089140044498949,https://www.facebook.com/NogginLA/posts/2089140424498911:0,Photo,0.0,0.0,03/01/2019 07:27:06 AM, ,1,1,0,3,3,0,11,8,17,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2019-03-01,7,Viernes,3,0.0,0.0
