Date and time,Media posted,Type,Promoted,Likes,Likes organic,Likes paid,Comments,Comments organic,Comments paid,Saves,Impressions,Impressions organic,Impressions paid,Reach,Reach organic,Reach paid,Views,Reach rate,Reach rate organic,Reach rate paid,Engagement rate,Engagement rate organic,Engagement rate paid,Engagement on reach,Engagement on reach organic,Engagement on reach paid,Love rate,Talk rate,Number of tags,Filter,Instagram URL,Media direct URL,Location,Fecha,Hora,Dia,Mes,VTR
2019/03/20 17:16:43,0.0,photo,no,38,38,0,1,1,0,1,657,657,0,502,502,0,0.0,0.1894339622641509,0.1894339622641509,0,0.01509433962264151,0.01509433962264151,0,0.0796812749003984,0.0796812749003984,0,0.01433962264150943,0.0003773584905660377,1,0.0,https://www.instagram.com/p/BvPkM4lBGNW/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54511441_147069802994351_411124879407406762_n.jpg?_nc_cat=108&_nc_oc=AQmxR7VrCtDZNTQ-ozxJSWznhtq37V0hPaCbFrmFUanJlo6a81-i5idbA4RG7gf6mkY&_nc_ht=scontent.xx&oh=c8947f6ddd5a2b8fa7ef4da4754efd98&oe=5DBC834C,0.0,2019-03-20,17,Miércoles,3,0.0
2019/03/22 16:14:24,0.0,video,no,36,36,0,8,8,0,0,816,816,0,617,617,0,168.0,0.2311727238666167,0.2311727238666167,0,0.01648557512176845,0.01648557512176845,0,0.0713128038897893,0.0713128038897893,0,0.01348819782690146,0.002997377294866991,21,0.0,https://www.instagram.com/p/BvUmn7dhlrl/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53563176_1309805305833170_4888101207086235432_n.jpg?_nc_cat=104&_nc_oc=AQmxdEXtzSBOI2ipQk2Dsk3dmK6aOljYKQFSvOcxYl_3UeW_p8jr_evfhNcVjJvXxOk&_nc_ht=scontent.xx&oh=9d9a6f2db0a74134c6d72fadfc95ee69&oe=5DB827BD,0.0,2019-03-22,16,Viernes,3,0.27228525121555913
2019/03/26 13:13:21,0.0,photo,no,23,23,0,6,6,0,2,783,783,0,621,621,0,0.0,0.2308550185873606,0.2308550185873606,0,0.01152416356877323,0.01152416356877323,0,0.0499194847020934,0.0499194847020934,0,0.008550185873605948,0.002230483271375465,15,0.0,https://www.instagram.com/p/BvelHtBB8gq/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53586732_403590486886280_1293071965907328166_n.jpg?_nc_cat=110&_nc_oc=AQnVSVtYKsPA5KyvkfjP6v2bDvwB9lL954GWNsmT4QKGqZeWUYAg3tdc-t0M38zwC4k&_nc_ht=scontent.xx&oh=d858f1d29e7fbba48c6d6504fbaf8113&oe=5D7C64C2,0.0,2019-03-26,13,Martes,3,0.0
2019/03/26 13:13:36,0.0,photo,no,17,17,0,3,3,0,1,339,339,0,279,279,0,0.0,0.1037174721189591,0.1037174721189591,0,0.007806691449814126,0.007806691449814126,0,0.07526881720430108,0.07526881720430108,0,0.006319702602230483,0.001115241635687732,15,0.0,https://www.instagram.com/p/BvelJipBcY-/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54247615_601401183668007_7980604704461961317_n.jpg?_nc_cat=111&_nc_oc=AQkUckRjhN9e-9ZVlFxnmzyyCcTNsvEc5JGR2OpN_z0_GoeAuREQxv5cRV6sfvYf_u8&_nc_ht=scontent.xx&oh=4bf9edd66e67f9cb6d3e47e19d530543&oe=5D8646D7,0.0,2019-03-26,13,Martes,3,0.0
2019/03/26 13:13:48,0.0,photo,no,17,17,0,9,9,0,2,420,420,0,334,334,0,0.0,0.1241635687732342,0.1241635687732342,0,0.0104089219330855,0.0104089219330855,0,0.08383233532934131,0.08383233532934131,0,0.006319702602230483,0.003345724907063197,15,0.0,https://www.instagram.com/p/BvelK__BpYY/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53412689_665108153924775_5705558818899913145_n.jpg?_nc_cat=108&_nc_oc=AQmFvE-SnLjERx3dWpfBc0jnJS-WPHD5HFXvbyiFS1JBfcNkMWDdCDGnaOicKiRRyN0&_nc_ht=scontent.xx&oh=5eecaffa90976c4ec762629737304fe7&oe=5DBF1F58,0.0,2019-03-26,13,Martes,3,0.0
2019/03/27 19:02:53,0.0,photo,no,43,43,0,10,10,0,0,872,872,0,683,683,0,0.0,0.2524020694752402,0.2524020694752402,0,0.01958610495195861,0.01958610495195861,0,0.07759882869692533,0.07759882869692533,0,0.01589061345158906,0.003695491500369549,17,0.0,https://www.instagram.com/p/Bvhx6nYh5-w/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53871689_372357970018411_4025688794289646565_n.jpg?_nc_cat=110&_nc_oc=AQli0v3swWSNW4T7EnnrUfdRPVqUwyrxUN3xaEcIJEEH6VX4yPwImgMoAT03_V1T1o4&_nc_ht=scontent.xx&oh=3b340ffd08a4f1b522184569f975a79e&oe=5DB79F8E,0.0,2019-03-27,19,Miércoles,3,0.0
2019/03/29 13:18:21,0.0,video,no,24,24,0,3,3,0,0,490,490,0,377,377,0,99.0,0.139320029563932,0.139320029563932,0,0.009977827050997782,0.009977827050997782,0,0.07161803713527852,0.07161803713527852,0,0.008869179600886918,0.001108647450110865,16,0.0,https://www.instagram.com/p/BvmT1QqBeRb/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54512968_323022571740736_1289532320344323569_n.jpg?_nc_cat=111&_nc_oc=AQm2Lwp9JChajhYvGqIC1QBA_6U_xzAgPM2nTcfVNZ1VXhqyCd4jR2jOkmlE8uyP1GQ&_nc_ht=scontent.xx&oh=a127129c9c413204945b8fe1ce1ad327&oe=5DC58562,0.0,2019-03-29,13,Viernes,3,0.2625994694960212
2019/04/02 13:32:25,0.0,photo,no,15,15,0,1,1,0,1,302,302,0,247,247,0,0.0,0.0910095799557848,0.0910095799557848,0,0.006263817243920413,0.006263817243920413,0,0.06882591093117409,0.06882591093117409,0,0.00552689756816507,0.0003684598378776714,14,0.0,https://www.instagram.com/p/Bvwo3jJnLGE/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54510989_178705216445763_1479574920920196178_n.jpg?_nc_cat=102&_nc_oc=AQnxwZDhT4bqaVdksbtyjKTkNJiUf2gBwaeE9MUFbsxywh2bUyvZroFR81c0BIdiJC4&_nc_ht=scontent.xx&oh=d7eb89b35d93dfd7b1d8f22425758e3b&oe=5D791ECD,0.0,2019-04-02,13,Martes,4,0.0
2019/04/02 13:32:47,0.0,photo,no,15,15,0,1,1,0,1,293,293,0,230,230,0,0.0,0.08474576271186439,0.08474576271186439,0,0.006263817243920413,0.006263817243920413,0,0.07391304347826087,0.07391304347826087,0,0.00552689756816507,0.0003684598378776714,15,0.0,https://www.instagram.com/p/Bvwo6K2nR4b/,https://scontent.xx.fbcdn.net/v/t51.2885-15/55817187_2288815214708073_4883383634002883104_n.jpg?_nc_cat=103&_nc_oc=AQlsN7kGBDn70-l-2wQ0lphgkGFk3RQcMuXaccrg55YepGU4OI2nDgezAa4rAgbbq0A&_nc_ht=scontent.xx&oh=4a6103007d0f3dfb9d40476e0f89e974&oe=5DC1B479,0.0,2019-04-02,13,Martes,4,0.0
2019/04/02 13:33:16,0.0,photo,no,16,16,0,1,1,0,1,479,479,0,395,395,0,0.0,0.1455416359616802,0.1455416359616802,0,0.006632277081798084,0.006632277081798084,0,0.04556962025316456,0.04556962025316456,0,0.005895357406042741,0.0003684598378776714,18,0.0,https://www.instagram.com/p/Bvwo9xEHRBl/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54731620_160062741657689_6879405949221231600_n.jpg?_nc_cat=105&_nc_oc=AQm8lc7RaTHJt-4HlHpQZUEG8VxKHlfuah52HjN40ym9kHVsOLIfYSPrPzfL_ogu2Ps&_nc_ht=scontent.xx&oh=d51e903c33d2c1c6b38903d6e445c6b5&oe=5D82CAD9,0.0,2019-04-02,13,Martes,4,0.0
2019/04/03 18:32:33,0.0,photo,no,8,8,0,0,0,0,1,257,257,0,212,212,0,0.0,0.07791253215729511,0.07791253215729511,0,0.00330760749724366,0.00330760749724366,0,0.04245283018867925,0.04245283018867925,0,0.002940095553105476,0.0,16,0.0,https://www.instagram.com/p/BvzwApBFy4Q/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54446565_2080341752265997_3783793537542987869_n.jpg?_nc_cat=105&_nc_oc=AQlJd5VJ-ElWVCDs4N7v0qBw2F9ljt7O5Z1lFQe6UFhv9ca2OfvHZ6r2lP4vr2SR1zk&_nc_ht=scontent.xx&oh=42e2f0a39240ee6cb33f7e87f8bc61b0&oe=5D7BACFD,0.0,2019-04-03,18,Miércoles,4,0.0
2019/04/03 18:32:50,0.0,photo,no,9,9,0,0,0,0,2,293,293,0,225,225,0,0.0,0.08269018743109151,0.08269018743109151,0,0.00404263138552003,0.00404263138552003,0,0.04888888888888889,0.04888888888888889,0,0.00330760749724366,0.0,16,0.0,https://www.instagram.com/p/BvzwCvgl1fo/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54511484_128196458268419_5106435566084416648_n.jpg?_nc_cat=103&_nc_oc=AQmEjH1MgjWwyb6UQQDRoQmk90BkXod8iJerM8SjiP7Jo2nTZJ1VHSc-II0nCo6NkEw&_nc_ht=scontent.xx&oh=0ffce10013b7990ef1241048ea0ef730&oe=5DB010D7,0.0,2019-04-03,18,Miércoles,4,0.0
