Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2216052448474374,https://www.facebook.com/NogginLA/posts/2216052448474374,Video,0.0,0.0,05/31/2019 07:15:00 AM, ,281,281,0,378,378,0,48,46,70,0,0,266,190,0,0,12,49,55,0,0,87,99,0,0,5437,8810,2.0,0.0,0.0,2.0,0.0,0.0,39.0,22.0,0.0,0.0,44.0,26.0,0.0,0.0,0.0,0.0,2019-05-31,7,Viernes,5,0.3096,0.0854
905878352825130_2207713105974975,https://www.facebook.com/NogginLA/posts/2207713105974975,Video,0.0,0.0,05/31/2019 07:00:00 AM, ,411,411,0,558,558,0,50,46,68,0,0,375,276,0,0,10,42,46,0,0,83,94,0,0,4466,8810,6.0,1.0,0.0,6.0,1.0,0.0,38.0,19.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,0.0,2019-05-31,7,Viernes,5,0.2019,0.0633
905878352825130_2207709159308703,https://www.facebook.com/NogginLA/posts/2207709159308703,Photo,0.0,0.0,05/24/2019 07:00:00 AM, ,2749,2749,0,3761,3761,0,391,389,410,0,0,3515,2563,0,0,362,0,0,0,0,0,0,0,0,0,0,15.0,1.0,1.0,15.0,1.0,1.0,0.0,15.0,6.0,381.0,0.0,16.0,6.0,388.0,0.0,0.0,2019-05-24,7,Viernes,5,0.0,0.0138
905878352825130_2214707595275526,https://www.facebook.com/NogginLA/posts/2214707595275526,Link,0.0,0.0,05/21/2019 11:06:51 AM, ,348,348,0,435,435,0,11,9,9,1,1,352,279,0,0,6,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,2019-05-21,11,Martes,5,0.0,0.0316
905878352825130_2207408522672100,https://www.facebook.com/NogginLA/posts/2207408522672100,Video,0.0,0.0,05/18/2019 07:00:00 AM, ,216957,661,216775,462493,878,461615,3560,3444,8133,0,0,9352,2518,9097,2363,60,49,53,5945,6667,142,188,45123,62164,3173,28435,190.0,26.0,4.0,200.0,26.0,5.0,3355.0,136.0,0.0,0.0,7969.0,164.0,0.0,0.0,0.0,0.0,2019-05-18,7,Sábado,5,0.0007,0.0016
905878352825130_2207405492672403,https://www.facebook.com/NogginLA/posts/2207405492672403,Video,0.0,0.0,05/17/2019 07:47:36 AM, ,167989,1133,166848,331862,1492,330370,3466,3294,5095,0,0,2824,1303,2515,1110,48,90,109,10306,10859,273,329,58774,75559,3992,18985,209.0,35.0,9.0,218.0,36.0,12.0,3211.0,157.0,0.0,0.0,4923.0,172.0,0.0,0.0,0.0,0.0,2019-05-17,7,Viernes,5,0.0016,0.0024
905878352825130_2195757873837165,https://www.facebook.com/NogginLA/posts/2195757873837165,Video,0.0,0.0,05/11/2019 06:00:00 AM, ,241,241,0,327,327,0,76,72,105,0,0,236,164,0,0,10,50,53,0,0,105,122,0,0,8158,18366,5.0,0.0,0.0,5.0,0.0,0.0,68.0,29.0,0.0,0.0,73.0,32.0,0.0,0.0,0.0,0.0,2019-05-11,6,Sábado,5,0.4357,0.1411
905878352825130_2195654820514137,https://www.facebook.com/NogginLA/posts/2195654820514137,Video,0.0,0.0,05/10/2019 09:32:30 AM, ,242,242,0,335,335,0,46,44,67,0,0,242,169,0,0,6,30,36,0,0,71,85,0,0,9195,35305,2.0,0.0,1.0,2.0,0.0,1.0,38.0,22.0,0.0,0.0,43.0,24.0,0.0,0.0,0.0,0.0,2019-05-10,9,Viernes,5,0.2934,0.1033
905878352825130_2181902081889411,https://www.facebook.com/NogginLA/posts/2181902081889411,Video,0.0,0.0,05/04/2019 06:00:01 AM, ,801,801,0,1053,1053,0,288,276,398,0,0,587,466,0,0,20,234,249,0,0,433,487,0,0,16482,25363,18.0,7.0,4.0,19.0,7.0,5.0,254.0,66.0,0.0,0.0,316.0,82.0,0.0,0.0,0.0,0.0,2019-05-04,6,Sábado,5,0.5406,0.1186
905878352825130_2181897768556509,https://www.facebook.com/NogginLA/posts/2181897768556509,Video,0.0,0.0,05/02/2019 07:48:00 AM, ,492,492,0,690,690,0,348,340,439,0,0,345,261,0,0,11,246,281,0,0,386,449,0,0,13806,18387,10.0,1.0,0.0,10.0,2.0,0.0,330.0,34.0,0.0,0.0,394.0,45.0,0.0,0.0,0.0,0.0,2019-05-02,7,Jueves,5,0.7846,0.0915
