Date and time,Media posted,Type,Promoted,Likes,Likes organic,Likes paid,Comments,Comments organic,Comments paid,Saves,Impressions,Impressions organic,Impressions paid,Reach,Reach organic,Reach paid,Views,Reach rate,Reach rate organic,Reach rate paid,Engagement rate,Engagement rate organic,Engagement rate paid,Engagement on reach,Engagement on reach organic,Engagement on reach paid,Love rate,Talk rate,Number of tags,Filter,Instagram URL,Media direct URL,Location,Fecha,Hora,Dia,Mes
2019/03/20 19:43:41,0.0,photo,no,62,62,0,1,1,0,0,832,832,0,678,678,0,0.0,0.2291314633322068,0.2291314633322068,0,0.02129097668131125,0.02129097668131125,0,0.09292035398230089,0.09292035398230089,0,0.02095302467049679,0.0003379520108144644,1,0.0,https://www.instagram.com/p/BvP1BZxnSHy/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54247491_312049822841359_8117807975259235455_n.jpg?_nc_cat=103&_nc_oc=AQmGUTPML06NotGZvVlSxbC-ExH4Q1qILpMFRg9R9rawwTvaPEUJmKFknZmDR4KZSow&_nc_ht=scontent.xx&oh=c7b5063ab4cd36f1bef09983e75c5145&oe=5DC52929,0.0,2019-03-20,19,Miércoles,3
2019/03/22 20:09:19,0.0,video,no,18,18,0,1,1,0,1,522,522,0,440,440,0,132.0,0.1486486486486486,0.1486486486486486,0,0.006756756756756756,0.006756756756756756,0,0.04545454545454546,0.04545454545454546,0,0.006081081081081081,0.0003378378378378379,0,0.0,https://www.instagram.com/p/BvVBEldnUNV/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53968689_128122248314327_270087085301231217_n.jpg?_nc_cat=100&_nc_oc=AQnhYHE8A8FNA553_XPJYEQ2BRbObeFW9Gy3Mn6TABZkLNTyuWtjOp4Wf6b9iyt9sUQ&_nc_ht=scontent.xx&oh=81468df2dbe6d5417d93237ddb21dbda&oe=5DB7DF78,0.0,2019-03-22,20,Viernes,3
2019/03/26 20:23:20,0.0,photo,no,21,21,0,2,2,0,2,523,523,0,407,407,0,0.0,0.137037037037037,0.137037037037037,0,0.008417508417508417,0.008417508417508417,0,0.06142506142506143,0.06142506142506143,0,0.007070707070707071,0.0006734006734006734,0,0.0,https://www.instagram.com/p/BvfWU_ln6XQ/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54237214_158027175209450_6655340019442150914_n.jpg?_nc_cat=106&_nc_oc=AQmh4ROWV9oA0O8D_eK6wiLN7xl3aL0DFqocfMMM3QCW4V6O0-qUlF9bdhfFJFaISC8&_nc_ht=scontent.xx&oh=a4eac63d0e6c1b4859d0b267de9ce6b7&oe=5DB83DF7,0.0,2019-03-26,20,Martes,3
2019/03/26 20:23:42,0.0,photo,no,21,21,0,3,3,0,0,488,488,0,381,381,0,0.0,0.1282828282828283,0.1282828282828283,0,0.00808080808080808,0.00808080808080808,0,0.06299212598425197,0.06299212598425197,0,0.007070707070707071,0.00101010101010101,0,0.0,https://www.instagram.com/p/BvfWXvrn7B2/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56171762_2349094025123268_4893624067590274221_n.jpg?_nc_cat=105&_nc_oc=AQnqajAAiahK8-UeSpmnuFqlAo4jNL4-VN-2rFj1jthIhS7o9MuzODOfgWZsBtbhpIY&_nc_ht=scontent.xx&oh=16bd1cd6442d522e7a4d1598655202a2&oe=5DC6F236,0.0,2019-03-26,20,Martes,3
2019/03/26 20:41:19,0.0,photo,no,20,20,0,2,2,0,1,357,357,0,279,279,0,0.0,0.09393939393939393,0.09393939393939393,0,0.007744107744107744,0.007744107744107744,0,0.08243727598566307,0.08243727598566307,0,0.006734006734006735,0.0006734006734006734,29,0.0,https://www.instagram.com/p/BvfYYxXnkht/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54732513_422557575185252_6072594527085675432_n.jpg?_nc_cat=103&_nc_oc=AQkR2YPovM7tznh0Usr6H2_r_LHfa_wlpxb-hqjzajn4Qfff1kOVlen20fn95SqiYuM&_nc_ht=scontent.xx&oh=e1ff4dc39f4848f1e53d31247e9eb72d&oe=5DBB3147,0.0,2019-03-26,20,Martes,3
2019/03/27 19:00:29,0.0,photo,no,15,15,0,5,5,0,1,317,317,0,246,246,0,0.0,0.08266129032258064,0.08266129032258064,0,0.007056451612903225,0.007056451612903225,0,0.08536585365853659,0.08536585365853659,0,0.005040322580645161,0.00168010752688172,29,0.0,https://www.instagram.com/p/BvhxpIUHMc-/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53759553_2234637586599532_2810511859472023031_n.jpg?_nc_cat=102&_nc_oc=AQllbrq6ZR3-axCOyUHl8lHCAfCBlhrD8WRlxS8BUA5nzRrKPLfSFisefVChCRfcrkQ&_nc_ht=scontent.xx&oh=2b28ce405fbf097bf5b090941c8456be&oe=5DBF92FA,0.0,2019-03-27,19,Miércoles,3
2019/03/29 20:32:52,0.0,video,no,45,45,0,1,1,0,0,576,576,0,454,454,0,113.0,0.1527590847913863,0.1527590847913863,0,0.01547779273216689,0.01547779273216689,0,0.1013215859030837,0.1013215859030837,0,0.01514131897711978,0.0003364737550471063,0,0.0,https://www.instagram.com/p/BvnFsGaFhci/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54447227_333731990613893_8584063271545121899_n.jpg?_nc_cat=102&_nc_oc=AQmicfmg9AmSRrdHfaRqIxgGlK68SqJ1cAHJr82Z9_XX_bJkI8ratdeS0kwFlhO_PDM&_nc_ht=scontent.xx&oh=2f833999263468426fb7f8e6a736f7e8&oe=5DB1A15A,0.0,2019-03-29,20,Viernes,3
2019/04/03 15:39:58,0.0,photo,no,19,19,0,2,2,0,0,405,405,0,333,333,0,0.0,0.1118200134318334,0.1118200134318334,0,0.007051712558764272,0.007051712558764272,0,0.06306306306306307,0.06306306306306307,0,0.006380120886501008,0.000671591672263264,30,0.0,https://www.instagram.com/p/BvzcQjynQDn/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56622635_2308542362736016_2344548390614618203_n.jpg?_nc_cat=109&_nc_oc=AQnC2RWbNabZNynY9Fdq_c03x5kAkHwE8Oric7QDoh_pxnA9NJN6NyJr1Luv46NBgcY&_nc_ht=scontent.xx&oh=160f950b655bdef1bf6da5bab7d191ea&oe=5D829004,0.0,2019-04-03,15,Miércoles,4
2019/04/03 15:40:18,0.0,photo,no,26,26,0,3,3,0,1,405,405,0,331,331,0,0.0,0.1111484217595702,0.1111484217595702,0,0.01007387508394896,0.01007387508394896,0,0.09063444108761329,0.09063444108761329,0,0.008730691739422432,0.001007387508394896,30,0.0,https://www.instagram.com/p/BvzcTCvno01/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54247989_372570706922938_6571765031811284044_n.jpg?_nc_cat=107&_nc_oc=AQnV6ifSakAK2yvRFacM516W40QluD97schq5y7RHzMpW41DlPdkiVHz-vqP5Lm3wAo&_nc_ht=scontent.xx&oh=dc4f908da64b9bdcee20580e0cba53fa&oe=5DAE12A2,0.0,2019-04-03,15,Miércoles,4
2019/04/03 15:41:13,0.0,photo,no,17,17,0,1,1,0,0,339,339,0,279,279,0,0.0,0.09368703828072532,0.09368703828072532,0,0.006044325050369375,0.006044325050369375,0,0.06451612903225806,0.06451612903225806,0,0.005708529214237743,0.000335795836131632,31,0.0,https://www.instagram.com/p/BvzcZtqHNaZ/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54514072_558622481314172_2976220254430544465_n.jpg?_nc_cat=105&_nc_oc=AQl81aTpMDWV0B44YMeVxygg9XLZY24eZ1JZIho841ioxcdi2FF3Am52RkWX8IZjU7w&_nc_ht=scontent.xx&oh=76dab2dbf4b2fa6a2d0ab59782763294&oe=5D7CD323,0.0,2019-04-03,15,Miércoles,4
