Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_900764166942454,https://www.facebook.com/NogginBR/posts/900764270275777:0,Photo,0.0,0.0,06/01/2019 10:00:04 AM, ,1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,10,Sábado,6,0.0,0.0
199643730387838_893577870994417,https://www.facebook.com/NogginBR/posts/893577870994417,Video,0.0,0.0,05/31/2019 07:30:00 AM, ,381,381,0,520,520,0,15,11,18,0,0,86,55,0,0,4,32,38,0,0,62,71,0,0,3785,8810,3,2.0,0.0,3,2.0,0.0,7.0,7.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,2019-05-31,7,Viernes,5,0.1627,0.0315
199643730387838_895112867507584,https://www.facebook.com/NogginBR/posts/895112867507584,Photo,0.0,0.0,05/24/2019 12:47:13 PM, ,295,295,0,366,366,0,10,5,8,0,0,351,281,0,0,8,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,5,1.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,2019-05-24,12,Viernes,5,0.0,0.0339
199643730387838_893030457715825,https://www.facebook.com/NogginBR/posts/893030457715825,Video,0.0,0.0,05/21/2019 10:05:00 AM, ,75804,435,75472,195412,588,194824,515,478,621,0,0,568,310,425,226,7,11,12,2954,3651,54,64,15589,25313,3244,28435,42,3.0,3.0,47,3.0,11.0,450.0,31.0,0.0,0.0,584.0,37.0,0.0,0.0,0.0,0.0,2019-05-21,10,Martes,5,0.0007,0.001
199643730387838_890373977981473,https://www.facebook.com/NogginBR/posts/890373977981473,Video,0.0,0.0,05/17/2019 04:15:15 PM, ,92490,721,91821,158082,955,157127,1480,1303,1868,1,1,514,291,405,223,11,24,29,12319,13698,97,114,36399,44920,5098,18837,181,25.0,5.0,188,25.0,16.0,580.0,40.0,0.0,778.0,1020.0,51.0,0.0,797.0,1.0,1.0,2019-05-17,16,Viernes,5,0.001,0.0111
199643730387838_886209188397952,https://www.facebook.com/NogginBR/posts/886209188397952,Video,0.0,0.0,05/12/2019 07:37:00 AM, ,95,95,0,132,132,0,10,7,7,0,0,100,71,0,0,6,6,7,0,0,20,28,0,0,8961,18366,4,1.0,0.0,5,1.0,0.0,5.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2019-05-12,7,Domingo,5,0.2105,0.0737
199643730387838_885209668497904,https://www.facebook.com/NogginBR/posts/885209668497904,Video,0.0,0.0,05/11/2019 01:30:00 PM, ,149,149,0,247,247,0,64,61,88,0,0,175,116,0,0,7,40,59,0,0,92,126,0,0,25111,35305,7,2.0,0.0,7,2.0,0.0,59.0,7.0,0.0,0.0,80.0,8.0,0.0,0.0,0.0,0.0,2019-05-11,13,Sábado,5,0.6174,0.1074
199643730387838_292566431655062,https://www.facebook.com/NogginBR/videos/292566431655062/,Video,0.0,0.0,05/08/2019 01:18:45 PM, ,27,27,0,42,42,0,31,30,48,0,0,14,7,0,0,7,12,22,0,0,28,61,0,0,30377,30377,1,1.0,0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,2019-05-08,13,Miércoles,5,0.0,0.0741
199643730387838_881197475565790,https://www.facebook.com/NogginBR/posts/881197475565790,Video,0.0,0.0,05/04/2019 11:23:45 AM, ,524,524,0,718,718,0,25,19,27,0,0,150,89,0,0,4,19,19,0,0,65,78,0,0,4847,24595,3,4.0,2.0,5,4.0,3.0,9.0,12.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,2019-05-04,11,Sábado,5,0.124,0.0401
199643730387838_880044089014462,https://www.facebook.com/NogginBR/posts/880044089014462,Video,0.0,0.0,05/02/2019 04:37:41 PM, ,118,118,0,179,179,0,55,51,61,0,0,115,76,0,0,2,30,34,0,0,65,79,0,0,10336,17257,2,3.0,0.0,2,3.0,0.0,51.0,1.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,2019-05-02,16,Jueves,5,0.5508,0.0508
199643730387838_876107642741440,https://www.facebook.com/NogginBR/posts/876107642741440,Video,0.0,0.0,04/27/2019 01:00:00 PM, ,470,470,0,641,641,0,13,11,17,0,0,125,83,0,0,4,14,16,0,0,51,58,0,0,4360,24190,3,2.0,0.0,5,3.0,0.0,8.0,5.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,2019-04-27,13,Sábado,4,0.1085,0.0213
199643730387838_876106479408223,https://www.facebook.com/NogginBR/posts/876106479408223,Video,0.0,0.0,04/26/2019 02:57:44 PM, ,181,181,0,235,235,0,8,4,5,0,0,92,71,0,0,2,6,8,0,0,24,32,0,0,2888,13694,4,2.0,0.0,4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2019-04-26,14,Viernes,4,0.1326,0.0442
199643730387838_870043650014506,https://www.facebook.com/NogginBR/posts/870043650014506,Video,0.0,0.0,04/20/2019 04:31:00 PM, ,224,224,0,307,307,0,9,5,7,0,0,257,191,0,0,6,12,12,0,0,32,42,0,0,5432,18387,4,2.0,2.0,5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2019-04-20,16,Sábado,4,0.1429,0.0446
199643730387838_870036846681853,https://www.facebook.com/NogginBR/posts/870036846681853,Video,0.0,0.0,04/19/2019 10:00:00 AM, ,350,350,0,439,439,0,14,8,11,0,0,120,98,0,0,2,13,14,0,0,53,64,0,0,3452,17214,4,3.0,1.0,5,3.0,1.0,6.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2019-04-19,10,Viernes,4,0.1514,0.0286
199643730387838_867703946915143,https://www.facebook.com/NogginBR/posts/867703946915143,Video,0.0,0.0,04/14/2019 07:05:00 AM, ,488,488,0,692,692,0,21,10,11,0,0,152,87,0,0,4,22,24,0,0,56,68,0,0,4165,15635,9,2.0,3.0,11,3.0,5.0,9.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2019-04-14,7,Domingo,4,0.1148,0.0328
199643730387838_866802820338589,https://www.facebook.com/NogginBR/posts/866802820338589,Video,0.0,0.0,04/12/2019 11:59:02 AM, ,577,577,0,793,793,0,29,23,27,0,0,191,124,0,0,6,24,26,0,0,62,75,0,0,4204,15379,6,3.0,3.0,8,4.0,5.0,23.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2019-04-12,11,Viernes,4,0.1075,0.0208
199643730387838_862309947454543,https://www.facebook.com/NogginBR/posts/862309947454543,Video,0.0,0.0,04/05/2019 01:53:10 PM, ,537,537,0,723,723,0,43,38,47,0,0,107,60,0,0,4,32,34,0,0,96,113,0,0,6384,30633,6,3.0,2.0,9,5.0,3.0,32.0,8.0,0.0,0.0,35.0,12.0,0.0,0.0,0.0,0.0,2019-04-05,13,Viernes,4,0.1788,0.0354
199643730387838_861682524183952,https://www.facebook.com/NogginBR/posts/861682524183952,Video,0.0,0.0,04/04/2019 02:39:47 PM, ,91,91,0,142,142,0,28,26,31,0,0,94,60,0,0,6,14,14,0,0,38,51,0,0,9275,18643,5,1.0,1.0,6,1.0,1.0,24.0,4.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,2019-04-04,14,Jueves,4,0.4176,0.1209
199643730387838_2128005950628989,https://www.facebook.com/NogginBR/videos/2128005950628989/,Video,0.0,0.0,04/01/2019 03:57:42 PM, ,40,40,0,66,66,0,52,50,93,0,0,9,7,0,0,8,14,34,0,0,44,94,0,0,30547,30547,3,1.0,0.0,3,1.0,0.0,49.0,1.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,2019-04-01,15,Lunes,4,0.0,0.125
