Mes,Lifetime Organic Video Views,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.9288308740068104,0.0,-0.9893640758646337,-0.747609472743521,-0.747609472743521,-0.33999999999999997,-0.695631067961165,-0.11153846153846159
5,0.17690058479532156,inf,3.3589743589743595,60.2654621515381,-0.01006166828951649,-0.07407407407407396,3.8343079922027288,1.2222222222222223
6,-0.23913043478260865,-1.0,-0.7426470588235294,-0.9890115550113902,-0.3459016393442623,-0.25,-0.8397177419354839,-0.7142857142857143
