"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
199643730387838_902299483455589,https://www.facebook.com/NogginBR/posts/902299483455589,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção.",Video,,,"06/03/2019 01:01:11 PM"," ",93,93,0,122,122,0,4,2,2,0,0,105,81,0,0,3,3,3,0,0,13,13,0,0,4355,28512,2,1,,2,1,,,2,,,,2,,,,
199643730387838_367896447168469,https://www.facebook.com/NogginBR/videos/367896447168469/,,Video,,,"06/01/2019 10:17:27 AM"," ",147,147,0,204,204,0,63,56,83,0,0,9,7,0,0,6,15,30,0,0,76,115,0,0,34643,34643,5,2,1,6,2,1,56,,,,83,,,,,
199643730387838_900764166942454,https://www.facebook.com/NogginBR/posts/900764270275777:0,"Noggin BR",Photo,,,"06/01/2019 10:00:04 AM"," ",1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,,,,,,,,,,
199643730387838_893577870994417,https://www.facebook.com/NogginBR/posts/893577870994417,"Todos os meses temos alguma novidade no app do Noggin. De temporadas completas a estreias de séries, músicas e jogos: as surpresas não param nunca! Faça o download do app e curta com os seus pequenos uma nova forma de interagir e aprender online.",Video,,,"05/31/2019 07:30:00 AM"," ",381,381,0,520,520,0,15,11,18,0,0,86,55,0,0,4,32,38,0,0,62,71,0,0,3785,8810,3,2,,3,2,,7,7,,,9,9,,,,
199643730387838_895112867507584,https://www.facebook.com/NogginBR/posts/895112867507584,"Maio é o mês para agradecer os cuidados da mamãe e por isso temos um especial incrível para você curtir com os pequenos. Acesse esse presente clicando no link do post e baixe o app para celebrar em família! 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Photo,,,"05/24/2019 12:47:13 PM"," ",295,295,0,366,366,0,10,5,8,0,0,351,281,0,0,8,0,0,0,0,0,0,0,0,0,0,5,1,,5,1,,,2,2,2,,4,2,2,,
199643730387838_893030457715825,https://www.facebook.com/NogginBR/posts/893030457715825,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção! 👊",Video,,,"05/21/2019 10:05:00 AM"," ",75804,435,75472,195412,588,194824,515,478,621,0,0,568,310,425,226,7,11,12,2954,3651,54,64,15589,25313,3244,28435,42,3,3,47,3,11,450,31,,,584,37,,,,
199643730387838_890373977981473,https://www.facebook.com/NogginBR/posts/890373977981473,"Nós temos os melhores programas do Nick Jr., jogos e especiais para que os seus pequenos aprendam enquanto se divertem. Baixe já o Noggin!",Video,,,"05/17/2019 04:15:15 PM"," ",92490,721,91821,158082,955,157127,1480,1303,1868,1,1,514,291,405,223,11,24,29,12319,13698,97,114,36399,44920,5098,18837,181,25,5,188,25,16,580,40,,778,1020,51,,797,1,1
199643730387838_886209188397952,https://www.facebook.com/NogginBR/posts/886209188397952,"A importância de participar e ajudar a nossa comunidade e amigos 🤝 é a mensagem mais importante de ☀️ Sunny Day, nossa super estreia do mês. Baixe o app para curtir com o seu pequeno! 😀",Video,,,"05/12/2019 07:37:00 AM"," ",95,95,0,132,132,0,10,7,7,0,0,100,71,0,0,6,6,7,0,0,20,28,0,0,8961,18366,4,1,,5,1,,5,2,,,5,2,,,,
199643730387838_885209668497904,https://www.facebook.com/NogginBR/posts/885209668497904,"Sunny Day é dona de um salão de beleza 💇 e resolve qualquer problema 💁🏾 com seu talento. A personagem é um exemplo positivo de como se manter fiel à própria vocação. A criançada da sua casa não pode perder o nosso lançamento do mês!",Video,,,"05/11/2019 01:30:00 PM"," ",149,149,0,247,247,0,64,61,88,0,0,175,116,0,0,7,40,59,0,0,92,126,0,0,25111,35305,7,2,,7,2,,59,7,,,80,8,,,,
199643730387838_292566431655062,https://www.facebook.com/NogginBR/videos/292566431655062/,,Video,,,"05/08/2019 01:18:45 PM"," ",27,27,0,42,42,0,31,30,48,0,0,14,7,0,0,7,12,22,0,0,28,61,0,0,30377,30377,1,1,,1,1,,30,,,,48,,,,,
