Date and time,Type,Impressions,Reach,Average Impressions,Reach rate,Taps back,Taps forward,Exits,Replies,Completion rate,Exit rate,Fecha,Hora,Dia,Mes
2019-05-11 11:04:18,video,96,79,1.22,0.02828499820981024,2,60,9,0,0.9063,0.09380000000000001,2019-05-11,11,Sábado,5
2019-05-11 11:05:09,video,82,68,1.21,0.02434658073755818,6,59,2,0,0.9756,0.0244,2019-05-11,11,Sábado,5
2019-05-11 11:05:21,video,76,64,1.19,0.02291442892946652,4,58,3,0,0.9605,0.0395,2019-05-11,11,Sábado,5
2019-05-11 11:05:31,video,40,37,1.08,0.01324740422484783,1,34,0,0,1.0,0.0,2019-05-11,11,Sábado,5
2019-05-11 11:05:46,photo,76,62,1.23,0.02219835302542069,1,53,13,0,0.8289,0.1711,2019-05-11,11,Sábado,5
2019-05-15 18:00:16,photo,65,58,1.12,0.02054551895147007,0,43,2,0,0.9692000000000001,0.0308,2019-05-15,18,Miércoles,5
2019-05-15 18:00:17,photo,56,49,1.14,0.01735742118313851,1,46,3,0,0.9464,0.0536,2019-05-15,18,Miércoles,5
2019-05-15 18:00:18,photo,56,49,1.14,0.01735742118313851,3,47,1,0,0.9821,0.0179,2019-05-15,18,Miércoles,5
2019-05-15 18:00:19,photo,50,46,1.09,0.01629472192702798,2,44,0,0,1.0,0.0,2019-05-15,18,Miércoles,5
2019-05-15 18:00:20,photo,46,43,1.07,0.01523202267091746,0,44,1,0,0.9783,0.0217,2019-05-15,18,Miércoles,5
2019-05-15 18:01:00,photo,47,44,1.07,0.01558625575628764,1,36,5,0,0.8936,0.1064,2019-05-15,18,Miércoles,5
2019-05-22 12:13:34,video,43,36,1.19,0.01269393511988717,0,19,9,0,0.7907,0.2093,2019-05-22,12,Miércoles,5
2019-05-28 10:55:17,video,62,52,1.19,0.01829697396199859,3,30,16,0,0.7419,0.2581,2019-05-28,10,Martes,5
2019-06-10 17:55:17,video,79,74,1.07,0.02588317593564183,0,45,16,0,0.7975,0.2025,2019-06-10,17,Lunes,6
2019-06-10 17:55:18,video,61,56,1.09,0.01958726827562085,0,45,5,0,0.9179999999999999,0.08199999999999999,2019-06-10,17,Lunes,6
2019-06-10 17:55:19,video,57,50,1.14,0.01748863238894719,2,39,2,0,0.9649,0.0351,2019-06-10,17,Lunes,6
2019-06-10 17:55:20,video,59,46,1.28,0.01608954179783141,3,43,0,0,1.0,0.0,2019-06-10,17,Lunes,6
2019-06-10 17:55:21,video,60,48,1.25,0.0167890870933893,6,34,6,0,0.9,0.1,2019-06-10,17,Lunes,6
2019-06-13 16:48:25,video,63,53,1.19,0.01853795033228401,0,28,10,0,0.8412999999999999,0.1587,2019-06-13,16,Jueves,6
2019-06-19 16:35:11,photo,107,99,1.08,0.03455497382198953,0,80,6,0,0.9439,0.0561,2019-06-19,16,Miércoles,6
2019-06-19 16:35:12,photo,97,88,1.1,0.03071553228621291,1,80,4,0,0.9588,0.0412,2019-06-19,16,Miércoles,6
2019-06-19 16:35:13,photo,91,80,1.14,0.02792321116928447,3,71,2,0,0.978,0.022,2019-06-19,16,Miércoles,6
2019-06-19 16:35:14,photo,83,73,1.14,0.02547993019197208,3,72,0,0,1.0,0.0,2019-06-19,16,Miércoles,6
2019-06-19 16:35:15,photo,81,71,1.14,0.02478184991273996,3,66,4,0,0.9506,0.04940000000000001,2019-06-19,16,Miércoles,6
2019-06-19 16:35:16,photo,72,64,1.13,0.02233856893542757,3,65,0,0,1.0,0.0,2019-06-19,16,Miércoles,6
2019-06-19 16:35:17,photo,70,63,1.11,0.02198952879581152,2,62,1,0,0.9856999999999999,0.0143,2019-06-19,16,Miércoles,6
2019-06-19 16:35:18,photo,67,61,1.1,0.02129144851657941,2,60,0,0,1.0,0.0,2019-06-19,16,Miércoles,6
2019-06-19 16:35:19,photo,64,58,1.1,0.02024432809773124,1,60,2,0,0.9688,0.0313,2019-06-19,16,Miércoles,6
2019-06-19 16:35:20,photo,64,60,1.07,0.02094240837696335,1,56,2,0,0.9688,0.0313,2019-06-19,16,Miércoles,6
2019-06-26 16:56:01,video,107,86,1.24,0.02997560125479261,4,63,9,0,0.9159,0.08410000000000001,2019-06-26,16,Miércoles,6
2019-06-26 16:56:02,video,82,74,1.11,0.02579295921924015,4,62,4,0,0.9512,0.0488,2019-06-26,16,Miércoles,6
2019-06-26 16:56:03,video,78,73,1.07,0.02544440571627745,2,58,4,0,0.9487000000000001,0.0513,2019-06-26,16,Miércoles,6
2019-06-26 16:56:04,video,76,70,1.09,0.02439874520738933,2,66,1,0,0.9868000000000001,0.0132,2019-06-26,16,Miércoles,6
2019-06-26 16:56:05,video,76,71,1.07,0.02474729871035204,2,58,5,0,0.9342,0.0658,2019-06-26,16,Miércoles,6
