Mes,Lifetime Organic Video Views,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.6571861964353432,-0.7777777777777778,-0.563758389261745,-0.4294587400177462,-0.4294587400177462,-0.5,-0.4534883720930233,-0.30000000000000004
5,0.34999999999999987,2.15,2.1292307692307695,108.27623639191292,0.9942768273716951,7.100000000000001,7.693617021276596,8.128571428571428
6,-0.41519174041297935,-1.0,-0.7654867256637168,-0.99302436987491,-0.6399494665918024,-1.0,-0.9493392070484582,-0.971830985915493
